frag.id,mass.g,temp.c,date,days,time.point,notes
195,1.601,25.164,Jan-8-2018,60,T2,
199,1.027,25.607,Jan-8-2018,60,T2,
203,3.737,25.119,Jan-8-2018,60,T2,
208,6.519,25.65,Jan-8-2018,60,T2,
220,2.408,25.627,Jan-8-2018,60,T2,
223,1.984,25.613,Jan-8-2018,60,T2,
240,1.881,25.588,Jan-8-2018,60,T2,
243,1.394,26.697,Jan-8-2018,60,T2,
248,3.212,25.603,Jan-8-2018,60,T2,
257,3.104,25.107,Jan-8-2018,60,T2,
261,4.14,25.58,Jan-8-2018,60,T2,
270,1.651,26.723,Jan-8-2018,60,T2,
275,1.911,25.094,Jan-8-2018,60,T2,
278,0.927,25.608,Jan-8-2018,60,T2,
87,1.73,25.583,Jan-8-2018,60,T2,
103,1.306,26.701,Jan-8-2018,60,T2,
105,2.233,25.609,Jan-8-2018,60,T2,
110,1.729,25.089,Jan-8-2018,60,T2,
114,0.699,25.6,Jan-8-2018,60,T2,
118,0.508,25.161,Jan-8-2018,60,T2,
127,1.603,25.595,Jan-8-2018,60,T2,
131,3.993,25.649,Jan-8-2018,60,T2,
135,0.853,25.141,Jan-8-2018,60,T2,
139,1.75,26.721,Jan-8-2018,60,T2,
142,1.775,26.708,Jan-8-2018,60,T2,
147,1.658,26.733,Jan-8-2018,60,T2,
153,2.078,25.599,Jan-8-2018,60,T2,
155,1.891,26.715,Jan-8-2018,60,T2,
160,1.752,25.675,Jan-8-2018,60,T2,
1,1.277,25.169,Jan-8-2018,60,T2,
7,1.359,26.04,Jan-8-2018,60,T2,
13,2.053,25.594,Jan-8-2018,60,T2,
15,2.71,26.707,Jan-8-2018,60,T2,
28,0.913,25.628,Jan-8-2018,60,T2,
32,1.196,25.583,Jan-8-2018,60,T2,
36,1.963,25.635,Jan-8-2018,60,T2,
44,0.756,25.586,Jan-8-2018,60,T2,
48,2.152,25.577,Jan-8-2018,60,T2,
55,1.134,26.712,Jan-8-2018,60,T2,
57,0.825,26.724,Jan-8-2018,60,T2,
64,1.528,25.126,Jan-8-2018,60,T2,
69,2.361,25.132,Jan-8-2018,60,T2,
73,4.665,25.637,Jan-8-2018,60,T2,
82,2.796,25.595,Jan-8-2018,60,T2,
84,2.763,26.718,Jan-8-2018,60,T2,
201,1.643,25.317,Jan-8-2018,60,T2,
205,2.82,26.297,Jan-8-2018,60,T2,
213,1.175,26.285,Jan-8-2018,60,T2,
218,1.914,25.742,Jan-8-2018,60,T2,
225,1.228,25.38,Jan-8-2018,60,T2,
229,1.751,25.287,Jan-8-2018,60,T2,
232,2.532,25.411,Jan-8-2018,60,T2,
234,6.41,25.368,Jan-8-2018,60,T2,
245,2.639,25.736,Jan-8-2018,60,T2,
254,2.08,25.344,Jan-8-2018,60,T2,
259,2.922,26.335,Jan-8-2018,60,T2,
263,1.267,25.376,Jan-8-2018,60,T2,
265,0.778,26.323,Jan-8-2018,60,T2,
268,2.036,25.681,Jan-8-2018,60,T2,
273,3.066,26.247,Jan-8-2018,60,T2,
283,0.917,25.381,Jan-8-2018,60,T2,
89,1.098,25.302,Jan-8-2018,60,T2,
97,2.275,25.399,Jan-8-2018,60,T2,
101,2.267,25.717,Jan-8-2018,60,T2,
108,0.677,26.304,Jan-8-2018,60,T2,
112,1.318,26.223,Jan-8-2018,60,T2,
116,2.021,25.38,Jan-8-2018,60,T2,
129,0.96,25.441,Jan-8-2018,60,T2,
133,3.401,25.372,Jan-8-2018,60,T2,
137,1.134,26.335,Jan-8-2018,60,T2,
141,0.941,25.713,Jan-8-2018,60,T2,
149,1.762,25.279,Jan-8-2018,60,T2,
151,0.995,26.19,Jan-8-2018,60,T2,
157,1.729,25.723,Jan-8-2018,60,T2,
158,1.159,25.383,Jan-8-2018,60,T2,
187,3.572,25.368,Jan-8-2018,60,T2,
3,1.199,25.386,Jan-8-2018,60,T2,
8,4.368,25.368,Jan-8-2018,60,T2,
12,1.812,25.279,Jan-8-2018,60,T2,
17,4.366,25.716,Jan-8-2018,60,T2,
29,2.104,26.26,Jan-8-2018,60,T2,
34,1.193,26.235,Jan-8-2018,60,T2,
38,2.103,25.436,Jan-8-2018,60,T2,
40,1.685,25.386,Jan-8-2018,60,T2,
46,0.852,25.38,Jan-8-2018,60,T2,
50,1.915,25.713,Jan-8-2018,60,T2,
52,2.683,26.314,Jan-8-2018,60,T2,
59,2.659,25.729,Jan-8-2018,60,T2,
68,1.583,25.376,Jan-8-2018,60,T2,
76,2.78,25.729,Jan-8-2018,60,T2,
80,1.254,26.195,Jan-8-2018,60,T2,
86,3.877,25.369,Jan-8-2018,60,T2,
196,1.503,25.602,Jan-8-2018,60,T2,
200,2.237,26.656,Jan-8-2018,60,T2,
204,2.23,25.549,Jan-8-2018,60,T2,
212,1.915,25.659,Jan-8-2018,60,T2,
219,2.401,26.572,Jan-8-2018,60,T2,
224,2.881,25.677,Jan-8-2018,60,T2,
233,2.091,26.62,Jan-8-2018,60,T2,
235,1.468,25.608,Jan-8-2018,60,T2,
241,2.543,25.557,Jan-8-2018,60,T2,
244,1.877,25.583,Jan-8-2018,60,T2,
249,1.311,25.722,Jan-8-2018,60,T2,
253,1.543,25.599,Jan-8-2018,60,T2,
258,2.658,25.517,Jan-8-2018,60,T2,
262,1.606,25.676,Jan-8-2018,60,T2,
271,2.734,25.506,Jan-8-2018,60,T2,
272,1.899,25.545,Jan-8-2018,60,T2,
277,0.625,25.596,Jan-8-2018,60,T2,
288,3.055,26.583,Jan-8-2018,60,T2,
88,2.191,26.686,Jan-8-2018,60,T2,
104,2.02,25.534,Jan-8-2018,60,T2,
106,0.867,25.384,Jan-8-2018,60,T2,
111,2.367,26.517,Jan-8-2018,60,T2,
120,1.04,25.679,Jan-8-2018,60,T2,
128,2.086,26.525,Jan-8-2018,60,T2,
132,2.263,25.663,Jan-8-2018,60,T2,
136,0.514,25.539,Jan-8-2018,60,T2,
140,1.278,25.6,Jan-8-2018,60,T2,
144,0.728,26.505,Jan-8-2018,60,T2,
146,2.76,25.6,Jan-8-2018,60,T2,
150,1.089,25.482,Jan-8-2018,60,T2,
154,2.213,25.555,Jan-8-2018,60,T2,
159,1.945,25.662,Jan-8-2018,60,T2,
192,2.308,26.61,Jan-8-2018,60,T2,
4,1.046,26.698,Jan-8-2018,60,T2,
10,3.434,25.369,Jan-8-2018,60,T2,
16,2.133,25.59,Jan-8-2018,60,T2,
21,2.366,26.636,Jan-8-2018,60,T2,
24,2.663,26.664,Jan-8-2018,60,T2,
27,1.806,25.707,Jan-8-2018,60,T2,
33,1.778,25.72,Jan-8-2018,60,T2,
37,1.297,26.542,Jan-8-2018,60,T2,
45,1.078,25.72,Jan-8-2018,60,T2,
49,1.674,25.604,Jan-8-2018,60,T2,
51,2.628,25.56,Jan-8-2018,60,T2,
54,1.479,25.388,Jan-8-2018,60,T2,
58,1.081,25.588,Jan-8-2018,60,T2,
79,1.695,25.517,Jan-8-2018,60,T2,
81,1.565,26.638,Jan-8-2018,60,T2,
85,2.831,25.656,Jan-8-2018,60,T2,
198,1.385,25.192,Jan-8-2018,60,T2,
202,1.796,25.626,Jan-8-2018,60,T2,
210,1.638,25.701,Jan-8-2018,60,T2,
221,2.202,25.689,Jan-8-2018,60,T2,
222,3.456,25.283,Jan-8-2018,60,T2,
230,1.302,25.207,Jan-8-2018,60,T2,
237,5.368,25.75,Jan-8-2018,60,T2,
238,3.092,25.251,Jan-8-2018,60,T2,
242,1.256,25.738,Jan-8-2018,60,T2,
247,2.122,25.199,Jan-8-2018,60,T2,
251,2.267,25.256,Jan-8-2018,60,T2,
256,1.823,25.637,Jan-8-2018,60,T2,
260,2.058,25.3,Jan-8-2018,60,T2,
269,1.909,25.65,Jan-8-2018,60,T2,
274,4.216,25.645,Jan-8-2018,60,T2,
