Site Name ,MARIAHO
Site Number ,3
Logger ,Integrating Light Sensor
Logger Serial Number ,10957


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,03/04/2018 , 09:30:00,90,90
2,03/04/2018 , 09:45:00,82,82
3,03/04/2018 , 10:00:00,3913,3913
4,03/04/2018 , 10:15:00,17785,17785
5,03/04/2018 , 10:30:00,17491,17491
6,03/04/2018 , 10:45:00,19044,19044
7,03/04/2018 , 11:00:00,19088,19088
8,03/04/2018 , 11:15:00,17318,17318
9,03/04/2018 , 11:30:00,13512,13512
10,03/04/2018 , 11:45:00,18231,18231
11,03/04/2018 , 12:00:00,11866,11866
12,03/04/2018 , 12:15:00,14581,14581
13,03/04/2018 , 12:30:00,12501,12501
14,03/04/2018 , 12:45:00,12294,12294
15,03/04/2018 , 13:00:00,10550,10550
16,03/04/2018 , 13:15:00,11460,11460
17,03/04/2018 , 13:30:00,11441,11441
18,03/04/2018 , 13:45:00,12741,12741
19,03/04/2018 , 14:00:00,10058,10058
20,03/04/2018 , 14:15:00,12682,12682
21,03/04/2018 , 14:30:00,10297,10297
22,03/04/2018 , 14:45:00,9020,9020
23,03/04/2018 , 15:00:00,7304,7304
24,03/04/2018 , 15:15:00,6194,6194
25,03/04/2018 , 15:30:00,5544,5544
26,03/04/2018 , 15:45:00,6956,6956
27,03/04/2018 , 16:00:00,7652,7652
28,03/04/2018 , 16:15:00,6129,6129
29,03/04/2018 , 16:30:00,4294,4294
30,03/04/2018 , 16:45:00,3800,3800
31,03/04/2018 , 17:00:00,2501,2501
32,03/04/2018 , 17:15:00,1874,1874
33,03/04/2018 , 17:30:00,1112,1112
34,03/04/2018 , 17:45:00,839,839
35,03/04/2018 , 18:00:00,762,762
36,03/04/2018 , 18:15:00,448,448
37,03/04/2018 , 18:30:00,352,352
38,03/04/2018 , 18:45:00,125,125
39,03/04/2018 , 19:00:00,8,8
40,03/04/2018 , 19:15:00,0,0
41,03/04/2018 , 19:30:00,0,0
42,03/04/2018 , 19:45:00,0,0
43,03/04/2018 , 20:00:00,0,0
44,03/04/2018 , 20:15:00,0,0
45,03/04/2018 , 20:30:00,0,0
46,03/04/2018 , 20:45:00,0,0
47,03/04/2018 , 21:00:00,0,0
48,03/04/2018 , 21:15:00,0,0
49,03/04/2018 , 21:30:00,0,0
50,03/04/2018 , 21:45:00,0,0
51,03/04/2018 , 22:00:00,0,0
52,03/04/2018 , 22:15:00,0,0
53,03/04/2018 , 22:30:00,0,0
54,03/04/2018 , 22:45:00,0,0
55,03/04/2018 , 23:00:00,0,0
56,03/04/2018 , 23:15:00,0,0
57,03/04/2018 , 23:30:00,0,0
58,03/04/2018 , 23:45:00,0,0
59,03/04/2018 , 24:00:00,0,0
60,04/04/2018 , 00:15:00,0,0
61,04/04/2018 , 00:30:00,0,0
62,04/04/2018 , 00:45:00,0,0
63,04/04/2018 , 01:00:00,0,0
64,04/04/2018 , 01:15:00,0,0
65,04/04/2018 , 01:30:00,0,0
66,04/04/2018 , 01:45:00,0,0
67,04/04/2018 , 02:00:00,0,0
68,04/04/2018 , 02:15:00,0,0
69,04/04/2018 , 02:30:00,0,0
70,04/04/2018 , 02:45:00,0,0
71,04/04/2018 , 03:00:00,0,0
72,04/04/2018 , 03:15:00,0,0
73,04/04/2018 , 03:30:00,0,0
74,04/04/2018 , 03:45:00,0,0
75,04/04/2018 , 04:00:00,0,0
76,04/04/2018 , 04:15:00,0,0
77,04/04/2018 , 04:30:00,0,0
78,04/04/2018 , 04:45:00,0,0
79,04/04/2018 , 05:00:00,0,0
80,04/04/2018 , 05:15:00,0,0
81,04/04/2018 , 05:30:00,0,0
82,04/04/2018 , 05:45:00,0,0
83,04/04/2018 , 06:00:00,0,0
84,04/04/2018 , 06:15:00,9,9
85,04/04/2018 , 06:30:00,110,110
86,04/04/2018 , 06:45:00,320,320
87,04/04/2018 , 07:00:00,612,612
88,04/04/2018 , 07:15:00,1158,1158
89,04/04/2018 , 07:30:00,1492,1492
90,04/04/2018 , 07:45:00,2280,2280
91,04/04/2018 , 08:00:00,2598,2598
92,04/04/2018 , 08:15:00,4457,4457
93,04/04/2018 , 08:30:00,3115,3115
94,04/04/2018 , 08:45:00,3412,3412
95,04/04/2018 , 09:00:00,3218,3218
96,04/04/2018 , 09:15:00,3921,3921
97,04/04/2018 , 09:30:00,4855,4855
98,04/04/2018 , 09:45:00,5364,5364
99,04/04/2018 , 10:00:00,3054,3054
100,04/04/2018 , 10:15:00,5543,5543
101,04/04/2018 , 10:30:00,8720,8720
102,04/04/2018 , 10:45:00,7129,7129
103,04/04/2018 , 11:00:00,7076,7076
104,04/04/2018 , 11:15:00,8401,8401
105,04/04/2018 , 11:30:00,8686,8686
106,04/04/2018 , 11:45:00,11523,11523
107,04/04/2018 , 12:00:00,7975,7975
