Site Name ,TANKS
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,2484


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,03/04/2018 , 10:15:00,17113,17113
2,03/04/2018 , 10:30:00,17007,17007
3,03/04/2018 , 10:45:00,18468,18468
4,03/04/2018 , 11:00:00,18467,18467
5,03/04/2018 , 11:15:00,16749,16749
6,03/04/2018 , 11:30:00,13055,13055
7,03/04/2018 , 11:45:00,17661,17661
8,03/04/2018 , 12:00:00,11480,11480
9,03/04/2018 , 12:15:00,14223,14223
10,03/04/2018 , 12:30:00,12190,12190
11,03/04/2018 , 12:45:00,12084,12084
12,03/04/2018 , 13:00:00,10302,10302
13,03/04/2018 , 13:15:00,11184,11184
14,03/04/2018 , 13:30:00,11183,11183
15,03/04/2018 , 13:45:00,12529,12529
16,03/04/2018 , 14:00:00,9810,9810
17,03/04/2018 , 14:15:00,12362,12362
18,03/04/2018 , 14:30:00,10014,10014
19,03/04/2018 , 14:45:00,8753,8753
20,03/04/2018 , 15:00:00,7084,7084
21,03/04/2018 , 15:15:00,6007,6007
22,03/04/2018 , 15:30:00,5390,5390
23,03/04/2018 , 15:45:00,6798,6798
24,03/04/2018 , 16:00:00,7441,7441
25,03/04/2018 , 16:15:00,5940,5940
26,03/04/2018 , 16:30:00,4166,4166
27,03/04/2018 , 16:45:00,3706,3706
28,03/04/2018 , 17:00:00,2437,2437
29,03/04/2018 , 17:15:00,1811,1811
30,03/04/2018 , 17:30:00,1081,1081
31,03/04/2018 , 17:45:00,823,823
32,03/04/2018 , 18:00:00,752,752
33,03/04/2018 , 18:15:00,444,444
34,03/04/2018 , 18:30:00,356,356
35,03/04/2018 , 18:45:00,126,126
36,03/04/2018 , 19:00:00,11,11
37,03/04/2018 , 19:15:00,0,0
38,03/04/2018 , 19:30:00,0,0
39,03/04/2018 , 19:45:00,0,0
40,03/04/2018 , 20:00:00,0,0
41,03/04/2018 , 20:15:00,0,0
42,03/04/2018 , 20:30:00,0,0
43,03/04/2018 , 20:45:00,0,0
44,03/04/2018 , 21:00:00,0,0
45,03/04/2018 , 21:15:00,0,0
46,03/04/2018 , 21:30:00,0,0
47,03/04/2018 , 21:45:00,0,0
48,03/04/2018 , 22:00:00,0,0
49,03/04/2018 , 22:15:00,0,0
50,03/04/2018 , 22:30:00,0,0
51,03/04/2018 , 22:45:00,0,0
52,03/04/2018 , 23:00:00,0,0
53,03/04/2018 , 23:15:00,0,0
54,03/04/2018 , 23:30:00,0,0
55,03/04/2018 , 23:45:00,0,0
56,03/04/2018 , 24:00:00,0,0
57,04/04/2018 , 00:15:00,0,0
58,04/04/2018 , 00:30:00,0,0
59,04/04/2018 , 00:45:00,0,0
60,04/04/2018 , 01:00:00,0,0
61,04/04/2018 , 01:15:00,0,0
62,04/04/2018 , 01:30:00,0,0
63,04/04/2018 , 01:45:00,0,0
64,04/04/2018 , 02:00:00,0,0
65,04/04/2018 , 02:15:00,0,0
66,04/04/2018 , 02:30:00,0,0
67,04/04/2018 , 02:45:00,0,0
68,04/04/2018 , 03:00:00,0,0
69,04/04/2018 , 03:15:00,0,0
70,04/04/2018 , 03:30:00,0,0
71,04/04/2018 , 03:45:00,0,0
72,04/04/2018 , 04:00:00,0,0
73,04/04/2018 , 04:15:00,0,0
74,04/04/2018 , 04:30:00,0,0
75,04/04/2018 , 04:45:00,0,0
76,04/04/2018 , 05:00:00,0,0
77,04/04/2018 , 05:15:00,0,0
78,04/04/2018 , 05:30:00,0,0
79,04/04/2018 , 05:45:00,0,0
80,04/04/2018 , 06:00:00,0,0
81,04/04/2018 , 06:15:00,11,11
82,04/04/2018 , 06:30:00,107,107
83,04/04/2018 , 06:45:00,306,306
84,04/04/2018 , 07:00:00,584,584
85,04/04/2018 , 07:15:00,1106,1106
86,04/04/2018 , 07:30:00,1442,1442
87,04/04/2018 , 07:45:00,2214,2214
88,04/04/2018 , 08:00:00,2511,2511
89,04/04/2018 , 08:15:00,4329,4329
90,04/04/2018 , 08:30:00,3005,3005
91,04/04/2018 , 08:45:00,3287,3287
92,04/04/2018 , 09:00:00,3104,3104
93,04/04/2018 , 09:15:00,3813,3813
94,04/04/2018 , 09:30:00,4739,4739
95,04/04/2018 , 09:45:00,5193,5193
96,04/04/2018 , 10:00:00,2964,2964
97,04/04/2018 , 10:15:00,5394,5394
98,04/04/2018 , 10:30:00,8496,8496
99,04/04/2018 , 10:45:00,6962,6962
100,04/04/2018 , 11:00:00,6916,6916
101,04/04/2018 , 11:15:00,8214,8214
102,04/04/2018 , 11:30:00,8519,8519
103,04/04/2018 , 11:45:00,11276,11276
104,04/04/2018 , 12:00:00,7781,7781
105,04/04/2018 , 12:15:00,10560,10560
106,04/04/2018 , 12:30:00,9252,9252
107,04/04/2018 , 12:45:00,6849,6849
