Site Name ,SITE
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,4802


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,03/04/2018 , 10:15:00,21953,21953
2,03/04/2018 , 10:30:00,21686,21686
3,03/04/2018 , 10:45:00,23498,23498
4,03/04/2018 , 11:00:00,23505,23505
5,03/04/2018 , 11:15:00,21321,21321
6,03/04/2018 , 11:30:00,16736,16736
7,03/04/2018 , 11:45:00,22498,22498
8,03/04/2018 , 12:00:00,14749,14749
9,03/04/2018 , 12:15:00,18125,18125
10,03/04/2018 , 12:30:00,15638,15638
11,03/04/2018 , 12:45:00,15490,15490
12,03/04/2018 , 13:00:00,13171,13171
13,03/04/2018 , 13:15:00,14288,14288
14,03/04/2018 , 13:30:00,14278,14278
15,03/04/2018 , 13:45:00,15889,15889
16,03/04/2018 , 14:00:00,12508,12508
17,03/04/2018 , 14:15:00,15721,15721
18,03/04/2018 , 14:30:00,12824,12824
19,03/04/2018 , 14:45:00,11256,11256
20,03/04/2018 , 15:00:00,9155,9155
21,03/04/2018 , 15:15:00,7768,7768
22,03/04/2018 , 15:30:00,6963,6963
23,03/04/2018 , 15:45:00,8745,8745
24,03/04/2018 , 16:00:00,9598,9598
25,03/04/2018 , 16:15:00,7667,7667
26,03/04/2018 , 16:30:00,5369,5369
27,03/04/2018 , 16:45:00,4792,4792
28,03/04/2018 , 17:00:00,3161,3161
29,03/04/2018 , 17:15:00,2359,2359
30,03/04/2018 , 17:30:00,1402,1402
31,03/04/2018 , 17:45:00,1063,1063
32,03/04/2018 , 18:00:00,967,967
33,03/04/2018 , 18:15:00,570,570
34,03/04/2018 , 18:30:00,458,458
35,03/04/2018 , 18:45:00,163,163
36,03/04/2018 , 19:00:00,12,12
37,03/04/2018 , 19:15:00,0,0
38,03/04/2018 , 19:30:00,0,0
39,03/04/2018 , 19:45:00,0,0
40,03/04/2018 , 20:00:00,0,0
41,03/04/2018 , 20:15:00,0,0
42,03/04/2018 , 20:30:00,0,0
43,03/04/2018 , 20:45:00,0,0
44,03/04/2018 , 21:00:00,0,0
45,03/04/2018 , 21:15:00,0,0
46,03/04/2018 , 21:30:00,0,0
47,03/04/2018 , 21:45:00,0,0
48,03/04/2018 , 22:00:00,0,0
49,03/04/2018 , 22:15:00,0,0
50,03/04/2018 , 22:30:00,0,0
51,03/04/2018 , 22:45:00,0,0
52,03/04/2018 , 23:00:00,0,0
53,03/04/2018 , 23:15:00,0,0
54,03/04/2018 , 23:30:00,0,0
55,03/04/2018 , 23:45:00,0,0
56,03/04/2018 , 24:00:00,0,0
57,04/04/2018 , 00:15:00,0,0
58,04/04/2018 , 00:30:00,0,0
59,04/04/2018 , 00:45:00,0,0
60,04/04/2018 , 01:00:00,0,0
61,04/04/2018 , 01:15:00,0,0
62,04/04/2018 , 01:30:00,0,0
63,04/04/2018 , 01:45:00,0,0
64,04/04/2018 , 02:00:00,0,0
65,04/04/2018 , 02:15:00,0,0
66,04/04/2018 , 02:30:00,0,0
67,04/04/2018 , 02:45:00,0,0
68,04/04/2018 , 03:00:00,0,0
69,04/04/2018 , 03:15:00,0,0
70,04/04/2018 , 03:30:00,0,0
71,04/04/2018 , 03:45:00,0,0
72,04/04/2018 , 04:00:00,0,0
73,04/04/2018 , 04:15:00,0,0
74,04/04/2018 , 04:30:00,0,0
75,04/04/2018 , 04:45:00,0,0
76,04/04/2018 , 05:00:00,0,0
77,04/04/2018 , 05:15:00,0,0
78,04/04/2018 , 05:30:00,0,0
79,04/04/2018 , 05:45:00,0,0
80,04/04/2018 , 06:00:00,0,0
81,04/04/2018 , 06:15:00,14,14
82,04/04/2018 , 06:30:00,137,137
83,04/04/2018 , 06:45:00,394,394
84,04/04/2018 , 07:00:00,748,748
85,04/04/2018 , 07:15:00,1427,1427
86,04/04/2018 , 07:30:00,1858,1858
87,04/04/2018 , 07:45:00,2864,2864
88,04/04/2018 , 08:00:00,3243,3243
89,04/04/2018 , 08:15:00,5606,5606
90,04/04/2018 , 08:30:00,3877,3877
91,04/04/2018 , 08:45:00,4251,4251
92,04/04/2018 , 09:00:00,4002,4002
93,04/04/2018 , 09:15:00,4905,4905
94,04/04/2018 , 09:30:00,6075,6075
95,04/04/2018 , 09:45:00,6694,6694
96,04/04/2018 , 10:00:00,3795,3795
97,04/04/2018 , 10:15:00,6930,6930
98,04/04/2018 , 10:30:00,10918,10918
99,04/04/2018 , 10:45:00,8928,8928
100,04/04/2018 , 11:00:00,8857,8857
101,04/04/2018 , 11:15:00,10482,10482
102,04/04/2018 , 11:30:00,10893,10893
103,04/04/2018 , 11:45:00,14384,14384
104,04/04/2018 , 12:00:00,9950,9950
105,04/04/2018 , 12:15:00,13459,13459
106,04/04/2018 , 12:30:00,11815,11815
107,04/04/2018 , 12:45:00,8745,8745
