Site Name ,INDOOR
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6377


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,03/04/2018 , 09:30:00,129,129
2,03/04/2018 , 09:45:00,124,124
3,03/04/2018 , 10:00:00,4977,4977
4,03/04/2018 , 10:15:00,21375,21375
5,03/04/2018 , 10:30:00,21016,21016
6,03/04/2018 , 10:45:00,22766,22766
7,03/04/2018 , 11:00:00,22775,22775
8,03/04/2018 , 11:15:00,20766,20766
9,03/04/2018 , 11:30:00,16318,16318
10,03/04/2018 , 11:45:00,21677,21677
11,03/04/2018 , 12:00:00,14339,14339
12,03/04/2018 , 12:15:00,17635,17635
13,03/04/2018 , 12:30:00,15233,15233
14,03/04/2018 , 12:45:00,15072,15072
15,03/04/2018 , 13:00:00,12849,12849
16,03/04/2018 , 13:15:00,13960,13960
17,03/04/2018 , 13:30:00,13997,13997
18,03/04/2018 , 13:45:00,15680,15680
19,03/04/2018 , 14:00:00,12332,12332
20,03/04/2018 , 14:15:00,15477,15477
21,03/04/2018 , 14:30:00,12587,12587
22,03/04/2018 , 14:45:00,11024,11024
23,03/04/2018 , 15:00:00,8936,8936
24,03/04/2018 , 15:15:00,7561,7561
25,03/04/2018 , 15:30:00,6814,6814
26,03/04/2018 , 15:45:00,8599,8599
27,03/04/2018 , 16:00:00,9433,9433
28,03/04/2018 , 16:15:00,7560,7560
29,03/04/2018 , 16:30:00,5327,5327
30,03/04/2018 , 16:45:00,4679,4679
31,03/04/2018 , 17:00:00,3085,3085
32,03/04/2018 , 17:15:00,2312,2312
33,03/04/2018 , 17:30:00,1379,1379
34,03/04/2018 , 17:45:00,1052,1052
35,03/04/2018 , 18:00:00,961,961
36,03/04/2018 , 18:15:00,565,565
37,03/04/2018 , 18:30:00,449,449
38,03/04/2018 , 18:45:00,159,159
39,03/04/2018 , 19:00:00,13,13
40,03/04/2018 , 19:15:00,0,0
41,03/04/2018 , 19:30:00,128,128
42,03/04/2018 , 19:45:00,0,0
43,03/04/2018 , 20:00:00,0,0
44,03/04/2018 , 20:15:00,0,0
45,03/04/2018 , 20:30:00,0,0
46,03/04/2018 , 20:45:00,0,0
47,03/04/2018 , 21:00:00,0,0
48,03/04/2018 , 21:15:00,0,0
49,03/04/2018 , 21:30:00,0,0
50,03/04/2018 , 21:45:00,0,0
51,03/04/2018 , 22:00:00,0,0
52,03/04/2018 , 22:15:00,0,0
53,03/04/2018 , 22:30:00,0,0
54,03/04/2018 , 22:45:00,0,0
55,03/04/2018 , 23:00:00,0,0
56,03/04/2018 , 23:15:00,0,0
57,03/04/2018 , 23:30:00,0,0
58,03/04/2018 , 23:45:00,0,0
59,03/04/2018 , 24:00:00,0,0
60,04/04/2018 , 00:15:00,0,0
61,04/04/2018 , 00:30:00,0,0
62,04/04/2018 , 00:45:00,0,0
63,04/04/2018 , 01:00:00,0,0
64,04/04/2018 , 01:15:00,32896,32896
65,04/04/2018 , 01:30:00,128,128
66,04/04/2018 , 01:45:00,0,0
67,04/04/2018 , 02:00:00,0,0
68,04/04/2018 , 02:15:00,0,0
69,04/04/2018 , 02:30:00,0,0
70,04/04/2018 , 02:45:00,0,0
71,04/04/2018 , 03:00:00,0,0
72,04/04/2018 , 03:15:00,0,0
73,04/04/2018 , 03:30:00,0,0
74,04/04/2018 , 03:45:00,0,0
75,04/04/2018 , 04:00:00,0,0
76,04/04/2018 , 04:15:00,0,0
77,04/04/2018 , 04:30:00,0,0
78,04/04/2018 , 04:45:00,0,0
79,04/04/2018 , 05:00:00,0,0
80,04/04/2018 , 05:15:00,0,0
81,04/04/2018 , 05:30:00,14,14
82,04/04/2018 , 05:45:00,139,139
83,04/04/2018 , 06:00:00,400,400
84,04/04/2018 , 06:15:00,757,757
85,04/04/2018 , 06:30:00,1432,1432
86,04/04/2018 , 06:45:00,1855,1855
87,04/04/2018 , 07:00:00,2813,2813
88,04/04/2018 , 07:15:00,3241,3241
89,04/04/2018 , 07:30:00,5522,5522
90,04/04/2018 , 07:45:00,3845,3845
91,04/04/2018 , 08:00:00,4213,4213
92,04/04/2018 , 08:15:00,3949,3949
93,04/04/2018 , 08:30:00,4863,4863
94,04/04/2018 , 08:45:00,6017,6017
95,04/04/2018 , 09:00:00,6606,6606
96,04/04/2018 , 09:15:00,3770,3770
97,04/04/2018 , 09:30:00,6886,6886
98,04/04/2018 , 09:45:00,10690,10690
99,04/04/2018 , 10:00:00,8778,8778
100,04/04/2018 , 10:15:00,8700,8700
101,04/04/2018 , 10:30:00,10277,10277
102,04/04/2018 , 10:45:00,10576,10576
103,04/04/2018 , 11:00:00,13910,13910
104,04/04/2018 , 11:15:00,9778,9778
105,04/04/2018 , 11:30:00,13124,13124
106,04/04/2018 , 11:45:00,11480,11480
107,04/04/2018 , 12:00:00,8659,8659
