Site Name ,NA
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6381


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,03/04/2018 , 10:15:00,11547,11547
2,03/04/2018 , 10:30:00,11467,11467
3,03/04/2018 , 10:45:00,12447,12447
4,03/04/2018 , 11:00:00,12459,12459
5,03/04/2018 , 11:15:00,11347,11347
6,03/04/2018 , 11:30:00,8866,8866
7,03/04/2018 , 11:45:00,11894,11894
8,03/04/2018 , 12:00:00,7803,7803
9,03/04/2018 , 12:15:00,9607,9607
10,03/04/2018 , 12:30:00,8336,8336
11,03/04/2018 , 12:45:00,8284,8284
12,03/04/2018 , 13:00:00,7074,7074
13,03/04/2018 , 13:15:00,7672,7672
14,03/04/2018 , 13:30:00,7701,7701
15,03/04/2018 , 13:45:00,8599,8599
16,03/04/2018 , 14:00:00,6757,6757
17,03/04/2018 , 14:15:00,8477,8477
18,03/04/2018 , 14:30:00,6863,6863
19,03/04/2018 , 14:45:00,5991,5991
20,03/04/2018 , 15:00:00,4840,4840
21,03/04/2018 , 15:15:00,4090,4090
22,03/04/2018 , 15:30:00,3698,3698
23,03/04/2018 , 15:45:00,4692,4692
24,03/04/2018 , 16:00:00,5124,5124
25,03/04/2018 , 16:15:00,4107,4107
26,03/04/2018 , 16:30:00,2888,2888
27,03/04/2018 , 16:45:00,2532,2532
28,03/04/2018 , 17:00:00,1665,1665
29,03/04/2018 , 17:15:00,1238,1238
30,03/04/2018 , 17:30:00,742,742
31,03/04/2018 , 17:45:00,571,571
32,03/04/2018 , 18:00:00,528,528
33,03/04/2018 , 18:15:00,311,311
34,03/04/2018 , 18:30:00,251,251
35,03/04/2018 , 18:45:00,88,88
36,03/04/2018 , 19:00:00,7,7
37,03/04/2018 , 19:15:00,0,0
38,03/04/2018 , 19:30:00,0,0
39,03/04/2018 , 19:45:00,0,0
40,03/04/2018 , 20:00:00,0,0
41,03/04/2018 , 20:15:00,0,0
42,03/04/2018 , 20:30:00,0,0
43,03/04/2018 , 20:45:00,0,0
44,03/04/2018 , 21:00:00,0,0
45,03/04/2018 , 21:15:00,0,0
46,03/04/2018 , 21:30:00,0,0
47,03/04/2018 , 21:45:00,0,0
48,03/04/2018 , 22:00:00,0,0
49,03/04/2018 , 22:15:00,0,0
50,03/04/2018 , 22:30:00,0,0
51,03/04/2018 , 22:45:00,0,0
52,03/04/2018 , 23:00:00,0,0
53,03/04/2018 , 23:15:00,0,0
54,03/04/2018 , 23:30:00,0,0
55,03/04/2018 , 23:45:00,0,0
56,03/04/2018 , 24:00:00,0,0
57,04/04/2018 , 00:15:00,0,0
58,04/04/2018 , 00:30:00,0,0
59,04/04/2018 , 00:45:00,0,0
60,04/04/2018 , 01:00:00,0,0
61,04/04/2018 , 01:15:00,0,0
62,04/04/2018 , 01:30:00,0,0
63,04/04/2018 , 01:45:00,0,0
64,04/04/2018 , 02:00:00,0,0
65,04/04/2018 , 02:15:00,0,0
66,04/04/2018 , 02:30:00,0,0
67,04/04/2018 , 02:45:00,0,0
68,04/04/2018 , 03:00:00,0,0
69,04/04/2018 , 03:15:00,0,0
70,04/04/2018 , 03:30:00,0,0
71,04/04/2018 , 03:45:00,0,0
72,04/04/2018 , 04:00:00,0,0
73,04/04/2018 , 04:15:00,0,0
74,04/04/2018 , 04:30:00,0,0
75,04/04/2018 , 04:45:00,0,0
76,04/04/2018 , 05:00:00,0,0
77,04/04/2018 , 05:15:00,0,0
78,04/04/2018 , 05:30:00,0,0
79,04/04/2018 , 05:45:00,0,0
80,04/04/2018 , 06:00:00,0,0
81,04/04/2018 , 06:15:00,6,6
82,04/04/2018 , 06:30:00,74,74
83,04/04/2018 , 06:45:00,213,213
84,04/04/2018 , 07:00:00,406,406
85,04/04/2018 , 07:15:00,764,764
86,04/04/2018 , 07:30:00,994,994
87,04/04/2018 , 07:45:00,1510,1510
88,04/04/2018 , 08:00:00,1724,1724
89,04/04/2018 , 08:15:00,2946,2946
90,04/04/2018 , 08:30:00,2043,2043
91,04/04/2018 , 08:45:00,2233,2233
92,04/04/2018 , 09:00:00,2113,2113
93,04/04/2018 , 09:15:00,2602,2602
94,04/04/2018 , 09:30:00,3232,3232
95,04/04/2018 , 09:45:00,3532,3532
96,04/04/2018 , 10:00:00,2024,2024
97,04/04/2018 , 10:15:00,3685,3685
98,04/04/2018 , 10:30:00,5751,5751
99,04/04/2018 , 10:45:00,4733,4733
100,04/04/2018 , 11:00:00,4696,4696
101,04/04/2018 , 11:15:00,5559,5559
102,04/04/2018 , 11:30:00,5728,5728
103,04/04/2018 , 11:45:00,7532,7532
104,04/04/2018 , 12:00:00,5269,5269
105,04/04/2018 , 12:15:00,7095,7095
106,04/04/2018 , 12:30:00,6210,6210
107,04/04/2018 , 12:45:00,4661,4661
