Site Name ,PAR7277
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,7277


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,03/04/2018 , 09:30:00,89,89
2,03/04/2018 , 09:45:00,89,89
3,03/04/2018 , 10:00:00,3510,3510
4,03/04/2018 , 10:15:00,14978,14978
5,03/04/2018 , 10:30:00,14766,14766
6,03/04/2018 , 10:45:00,16037,16037
7,03/04/2018 , 11:00:00,16060,16060
8,03/04/2018 , 11:15:00,14607,14607
9,03/04/2018 , 11:30:00,11458,11458
10,03/04/2018 , 11:45:00,15307,15307
11,03/04/2018 , 12:00:00,10071,10071
12,03/04/2018 , 12:15:00,12422,12422
13,03/04/2018 , 12:30:00,10693,10693
14,03/04/2018 , 12:45:00,10616,10616
15,03/04/2018 , 13:00:00,9028,9028
16,03/04/2018 , 13:15:00,9826,9826
17,03/04/2018 , 13:30:00,9823,9823
18,03/04/2018 , 13:45:00,11029,11029
19,03/04/2018 , 14:00:00,8649,8649
20,03/04/2018 , 14:15:00,10871,10871
21,03/04/2018 , 14:30:00,8829,8829
22,03/04/2018 , 14:45:00,7730,7730
23,03/04/2018 , 15:00:00,6265,6265
24,03/04/2018 , 15:15:00,5304,5304
25,03/04/2018 , 15:30:00,4773,4773
26,03/04/2018 , 15:45:00,6021,6021
27,03/04/2018 , 16:00:00,6601,6601
28,03/04/2018 , 16:15:00,5288,5288
29,03/04/2018 , 16:30:00,3719,3719
30,03/04/2018 , 16:45:00,3270,3270
31,03/04/2018 , 17:00:00,2154,2154
32,03/04/2018 , 17:15:00,1616,1616
33,03/04/2018 , 17:30:00,961,961
34,03/04/2018 , 17:45:00,733,733
35,03/04/2018 , 18:00:00,668,668
36,03/04/2018 , 18:15:00,394,394
37,03/04/2018 , 18:30:00,313,313
38,03/04/2018 , 18:45:00,111,111
39,03/04/2018 , 19:00:00,10,10
40,03/04/2018 , 19:15:00,0,0
41,03/04/2018 , 19:30:00,0,0
42,03/04/2018 , 19:45:00,0,0
43,03/04/2018 , 20:00:00,0,0
44,03/04/2018 , 20:15:00,0,0
45,03/04/2018 , 20:30:00,0,0
46,03/04/2018 , 20:45:00,0,0
47,03/04/2018 , 21:00:00,0,0
48,03/04/2018 , 21:15:00,0,0
49,03/04/2018 , 21:30:00,0,0
50,03/04/2018 , 21:45:00,0,0
51,03/04/2018 , 22:00:00,0,0
52,03/04/2018 , 22:15:00,0,0
53,03/04/2018 , 22:30:00,0,0
54,03/04/2018 , 22:45:00,0,0
55,03/04/2018 , 23:00:00,0,0
56,03/04/2018 , 23:15:00,0,0
57,03/04/2018 , 23:30:00,0,0
58,03/04/2018 , 23:45:00,0,0
59,03/04/2018 , 24:00:00,0,0
60,04/04/2018 , 00:15:00,0,0
61,04/04/2018 , 00:30:00,0,0
62,04/04/2018 , 00:45:00,0,0
63,04/04/2018 , 01:00:00,0,0
64,04/04/2018 , 01:15:00,0,0
65,04/04/2018 , 01:30:00,0,0
66,04/04/2018 , 01:45:00,0,0
67,04/04/2018 , 02:00:00,0,0
68,04/04/2018 , 02:15:00,0,0
69,04/04/2018 , 02:30:00,0,0
70,04/04/2018 , 02:45:00,0,0
71,04/04/2018 , 03:00:00,0,0
72,04/04/2018 , 03:15:00,0,0
73,04/04/2018 , 03:30:00,0,0
74,04/04/2018 , 03:45:00,0,0
75,04/04/2018 , 04:00:00,0,0
76,04/04/2018 , 04:15:00,0,0
77,04/04/2018 , 04:30:00,0,0
78,04/04/2018 , 04:45:00,0,0
79,04/04/2018 , 05:00:00,0,0
80,04/04/2018 , 05:15:00,0,0
81,04/04/2018 , 05:30:00,0,0
82,04/04/2018 , 05:45:00,0,0
83,04/04/2018 , 06:00:00,0,0
84,04/04/2018 , 06:15:00,10,10
85,04/04/2018 , 06:30:00,97,97
86,04/04/2018 , 06:45:00,280,280
87,04/04/2018 , 07:00:00,529,529
88,04/04/2018 , 07:15:00,1001,1001
89,04/04/2018 , 07:30:00,1298,1298
90,04/04/2018 , 07:45:00,1977,1977
91,04/04/2018 , 08:00:00,2264,2264
92,04/04/2018 , 08:15:00,3873,3873
93,04/04/2018 , 08:30:00,2692,2692
94,04/04/2018 , 08:45:00,2951,2951
95,04/04/2018 , 09:00:00,2778,2778
96,04/04/2018 , 09:15:00,3412,3412
97,04/04/2018 , 09:30:00,4237,4237
98,04/04/2018 , 09:45:00,4646,4646
99,04/04/2018 , 10:00:00,2651,2651
100,04/04/2018 , 10:15:00,4832,4832
101,04/04/2018 , 10:30:00,7542,7542
102,04/04/2018 , 10:45:00,6181,6181
103,04/04/2018 , 11:00:00,6130,6130
104,04/04/2018 , 11:15:00,7255,7255
105,04/04/2018 , 11:30:00,7487,7487
106,04/04/2018 , 11:45:00,9863,9863
107,04/04/2018 , 12:00:00,6889,6889
