Site Name ,TANK10
Site Number ,10
Logger ,Integrating Light Sensor
Logger Serial Number ,7278


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,03/04/2018 , 09:30:00,117,117
2,03/04/2018 , 09:45:00,61,61
3,03/04/2018 , 10:00:00,3912,3912
4,03/04/2018 , 10:15:00,17139,17139
5,03/04/2018 , 10:30:00,17091,17091
6,03/04/2018 , 10:45:00,18649,18649
7,03/04/2018 , 11:00:00,18629,18629
8,03/04/2018 , 11:15:00,17034,17034
9,03/04/2018 , 11:30:00,13373,13373
10,03/04/2018 , 11:45:00,17936,17936
11,03/04/2018 , 12:00:00,11782,11782
12,03/04/2018 , 12:15:00,14537,14537
13,03/04/2018 , 12:30:00,12640,12640
14,03/04/2018 , 12:45:00,12522,12522
15,03/04/2018 , 13:00:00,10696,10696
16,03/04/2018 , 13:15:00,11634,11634
17,03/04/2018 , 13:30:00,11687,11687
18,03/04/2018 , 13:45:00,13062,13062
19,03/04/2018 , 14:00:00,10190,10190
20,03/04/2018 , 14:15:00,12788,12788
21,03/04/2018 , 14:30:00,10372,10372
22,03/04/2018 , 14:45:00,9063,9063
23,03/04/2018 , 15:00:00,7331,7331
24,03/04/2018 , 15:15:00,6205,6205
25,03/04/2018 , 15:30:00,5601,5601
26,03/04/2018 , 15:45:00,7130,7130
27,03/04/2018 , 16:00:00,7768,7768
28,03/04/2018 , 16:15:00,6197,6197
29,03/04/2018 , 16:30:00,4383,4383
30,03/04/2018 , 16:45:00,3840,3840
31,03/04/2018 , 17:00:00,2522,2522
32,03/04/2018 , 17:15:00,1880,1880
33,03/04/2018 , 17:30:00,1122,1122
34,03/04/2018 , 17:45:00,862,862
35,03/04/2018 , 18:00:00,796,796
36,03/04/2018 , 18:15:00,468,468
37,03/04/2018 , 18:30:00,382,382
38,03/04/2018 , 18:45:00,135,135
39,03/04/2018 , 19:00:00,11,11
40,03/04/2018 , 19:15:00,0,0
41,03/04/2018 , 19:30:00,0,0
42,03/04/2018 , 19:45:00,0,0
43,03/04/2018 , 20:00:00,0,0
44,03/04/2018 , 20:15:00,0,0
45,03/04/2018 , 20:30:00,0,0
46,03/04/2018 , 20:45:00,0,0
47,03/04/2018 , 21:00:00,0,0
48,03/04/2018 , 21:15:00,0,0
49,03/04/2018 , 21:30:00,0,0
50,03/04/2018 , 21:45:00,0,0
51,03/04/2018 , 22:00:00,0,0
52,03/04/2018 , 22:15:00,0,0
53,03/04/2018 , 22:30:00,0,0
54,03/04/2018 , 22:45:00,0,0
55,03/04/2018 , 23:00:00,0,0
56,03/04/2018 , 23:15:00,0,0
57,03/04/2018 , 23:30:00,0,0
58,03/04/2018 , 23:45:00,0,0
59,03/04/2018 , 24:00:00,0,0
60,04/04/2018 , 00:15:00,0,0
61,04/04/2018 , 00:30:00,0,0
62,04/04/2018 , 00:45:00,0,0
63,04/04/2018 , 01:00:00,0,0
64,04/04/2018 , 01:15:00,0,0
65,04/04/2018 , 01:30:00,0,0
66,04/04/2018 , 01:45:00,0,0
67,04/04/2018 , 02:00:00,0,0
68,04/04/2018 , 02:15:00,0,0
69,04/04/2018 , 02:30:00,0,0
70,04/04/2018 , 02:45:00,0,0
71,04/04/2018 , 03:00:00,0,0
72,04/04/2018 , 03:15:00,0,0
73,04/04/2018 , 03:30:00,0,0
74,04/04/2018 , 03:45:00,0,0
75,04/04/2018 , 04:00:00,0,0
76,04/04/2018 , 04:15:00,0,0
77,04/04/2018 , 04:30:00,0,0
78,04/04/2018 , 04:45:00,0,0
79,04/04/2018 , 05:00:00,0,0
80,04/04/2018 , 05:15:00,0,0
81,04/04/2018 , 05:30:00,0,0
82,04/04/2018 , 05:45:00,0,0
83,04/04/2018 , 06:00:00,0,0
84,04/04/2018 , 06:15:00,11,11
85,04/04/2018 , 06:30:00,112,112
86,04/04/2018 , 06:45:00,314,314
87,04/04/2018 , 07:00:00,601,601
88,04/04/2018 , 07:15:00,1129,1129
89,04/04/2018 , 07:30:00,1478,1478
90,04/04/2018 , 07:45:00,2247,2247
91,04/04/2018 , 08:00:00,2564,2564
92,04/04/2018 , 08:15:00,4362,4362
93,04/04/2018 , 08:30:00,3059,3059
94,04/04/2018 , 08:45:00,3326,3326
95,04/04/2018 , 09:00:00,3114,3114
96,04/04/2018 , 09:15:00,3878,3878
97,04/04/2018 , 09:30:00,4825,4825
98,04/04/2018 , 09:45:00,5250,5250
99,04/04/2018 , 10:00:00,3005,3005
100,04/04/2018 , 10:15:00,5490,5490
101,04/04/2018 , 10:30:00,8545,8545
102,04/04/2018 , 10:45:00,7022,7022
103,04/04/2018 , 11:00:00,6972,6972
104,04/04/2018 , 11:15:00,8274,8274
105,04/04/2018 , 11:30:00,8517,8517
106,04/04/2018 , 11:45:00,11245,11245
107,04/04/2018 , 12:00:00,7836,7836
