Site Name ,INDOOR
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6377


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,01/11/2017 , 17:15:00,20,20
2,01/11/2017 , 17:30:00,12,12
3,01/11/2017 , 17:45:00,4,4
4,01/11/2017 , 18:00:00,0,0
5,01/11/2017 , 18:15:00,0,0
6,01/11/2017 , 18:30:00,0,0
7,01/11/2017 , 18:45:00,0,0
8,01/11/2017 , 19:00:00,0,0
9,01/11/2017 , 19:15:00,0,0
10,01/11/2017 , 19:30:00,0,0
11,01/11/2017 , 19:45:00,0,0
12,01/11/2017 , 20:00:00,0,0
13,01/11/2017 , 20:15:00,0,0
14,01/11/2017 , 20:30:00,0,0
15,01/11/2017 , 20:45:00,0,0
16,01/11/2017 , 21:00:00,0,0
17,01/11/2017 , 21:15:00,0,0
18,01/11/2017 , 21:30:00,0,0
19,01/11/2017 , 21:45:00,0,0
20,01/11/2017 , 22:00:00,0,0
21,01/11/2017 , 22:15:00,0,0
22,01/11/2017 , 22:30:00,0,0
23,01/11/2017 , 22:45:00,0,0
24,01/11/2017 , 23:00:00,0,0
25,01/11/2017 , 23:15:00,0,0
26,01/11/2017 , 23:30:00,0,0
27,01/11/2017 , 23:45:00,0,0
28,01/11/2017 , 24:00:00,0,0
29,02/11/2017 , 00:15:00,0,0
30,02/11/2017 , 00:30:00,0,0
31,02/11/2017 , 00:45:00,0,0
32,02/11/2017 , 01:00:00,0,0
33,02/11/2017 , 01:15:00,0,0
34,02/11/2017 , 01:30:00,0,0
35,02/11/2017 , 01:45:00,0,0
36,02/11/2017 , 02:00:00,0,0
37,02/11/2017 , 02:15:00,0,0
38,02/11/2017 , 02:30:00,0,0
39,02/11/2017 , 02:45:00,0,0
40,02/11/2017 , 03:00:00,0,0
41,02/11/2017 , 03:15:00,0,0
42,02/11/2017 , 03:30:00,0,0
43,02/11/2017 , 03:45:00,0,0
44,02/11/2017 , 04:00:00,0,0
45,02/11/2017 , 04:15:00,0,0
46,02/11/2017 , 04:30:00,0,0
47,02/11/2017 , 04:45:00,0,0
48,02/11/2017 , 05:00:00,0,0
49,02/11/2017 , 05:15:00,0,0
50,02/11/2017 , 05:30:00,0,0
51,02/11/2017 , 05:45:00,0,0
52,02/11/2017 , 06:00:00,0,0
53,02/11/2017 , 06:15:00,0,0
54,02/11/2017 , 06:30:00,0,0
55,02/11/2017 , 06:45:00,0,0
56,02/11/2017 , 07:00:00,5,5
57,02/11/2017 , 07:15:00,13,13
58,02/11/2017 , 07:30:00,19,19
59,02/11/2017 , 07:45:00,29,29
60,02/11/2017 , 08:00:00,44,44
61,02/11/2017 , 08:15:00,59,59
62,02/11/2017 , 08:30:00,62,62
63,02/11/2017 , 08:45:00,82,82
64,02/11/2017 , 09:00:00,109,109
65,02/11/2017 , 09:15:00,112,112
66,02/11/2017 , 09:30:00,122,122
67,02/11/2017 , 09:45:00,145,145
68,02/11/2017 , 10:00:00,187,187
69,02/11/2017 , 10:15:00,197,197
70,02/11/2017 , 10:30:00,208,208
71,02/11/2017 , 10:45:00,256,256
72,02/11/2017 , 11:00:00,265,265
73,02/11/2017 , 11:15:00,291,291
74,02/11/2017 , 11:30:00,334,334
75,02/11/2017 , 11:45:00,401,401
76,02/11/2017 , 12:00:00,322,322
77,02/11/2017 , 12:15:00,339,339
78,02/11/2017 , 12:30:00,366,366
79,02/11/2017 , 12:45:00,328,328
80,02/11/2017 , 13:00:00,299,299
81,02/11/2017 , 13:15:00,287,287
82,02/11/2017 , 13:30:00,377,377
83,02/11/2017 , 13:45:00,312,312
84,02/11/2017 , 14:00:00,291,291
85,02/11/2017 , 14:15:00,254,254
86,02/11/2017 , 14:30:00,244,244
87,02/11/2017 , 14:45:00,238,238
88,02/11/2017 , 15:00:00,191,191
89,02/11/2017 , 15:15:00,168,168
90,02/11/2017 , 15:30:00,142,142
91,02/11/2017 , 15:45:00,108,108
92,02/11/2017 , 16:00:00,114,114
93,02/11/2017 , 16:15:00,99,99
94,02/11/2017 , 16:30:00,60,60
95,02/11/2017 , 16:45:00,36,36
96,02/11/2017 , 17:00:00,27,27
97,02/11/2017 , 17:15:00,20,20
98,02/11/2017 , 17:30:00,9,9
99,02/11/2017 , 17:45:00,3,3
100,02/11/2017 , 18:00:00,0,0
101,02/11/2017 , 18:15:00,0,0
102,02/11/2017 , 18:30:00,0,0
103,02/11/2017 , 18:45:00,0,0
104,02/11/2017 , 19:00:00,0,0
105,02/11/2017 , 19:15:00,0,0
106,02/11/2017 , 19:30:00,0,0
107,02/11/2017 , 19:45:00,0,0
108,02/11/2017 , 20:00:00,0,0
109,02/11/2017 , 20:15:00,0,0
110,02/11/2017 , 20:30:00,0,0
111,02/11/2017 , 20:45:00,0,0
112,02/11/2017 , 21:00:00,0,0
