Site Name ,PAR7277
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,7277


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,20/11/2017 , 15:15:00,928,928
2,20/11/2017 , 15:30:00,582,582
3,20/11/2017 , 15:45:00,1660,1660
4,20/11/2017 , 16:00:00,1288,1288
5,20/11/2017 , 16:15:00,617,617
6,20/11/2017 , 16:30:00,611,611
7,20/11/2017 , 16:45:00,938,938
8,20/11/2017 , 17:00:00,424,424
9,20/11/2017 , 17:15:00,166,166
10,20/11/2017 , 17:30:00,114,114
11,20/11/2017 , 17:45:00,59,59
12,20/11/2017 , 18:00:00,12,12
13,20/11/2017 , 18:15:00,0,0
14,20/11/2017 , 18:30:00,0,0
15,20/11/2017 , 18:45:00,0,0
16,20/11/2017 , 19:00:00,0,0
17,20/11/2017 , 19:15:00,0,0
18,20/11/2017 , 19:30:00,0,0
19,20/11/2017 , 19:45:00,0,0
20,20/11/2017 , 20:00:00,0,0
21,20/11/2017 , 20:15:00,0,0
22,20/11/2017 , 20:30:00,0,0
23,20/11/2017 , 20:45:00,0,0
24,20/11/2017 , 21:00:00,0,0
25,20/11/2017 , 21:15:00,0,0
26,20/11/2017 , 21:30:00,0,0
27,20/11/2017 , 21:45:00,0,0
28,20/11/2017 , 22:00:00,0,0
29,20/11/2017 , 22:15:00,0,0
30,20/11/2017 , 22:30:00,0,0
31,20/11/2017 , 22:45:00,0,0
32,20/11/2017 , 23:00:00,0,0
33,20/11/2017 , 23:15:00,0,0
34,20/11/2017 , 23:30:00,0,0
35,20/11/2017 , 23:45:00,0,0
36,20/11/2017 , 24:00:00,0,0
37,21/11/2017 , 00:15:00,0,0
38,21/11/2017 , 00:30:00,0,0
39,21/11/2017 , 00:45:00,0,0
40,21/11/2017 , 01:00:00,0,0
41,21/11/2017 , 01:15:00,0,0
42,21/11/2017 , 01:30:00,0,0
43,21/11/2017 , 01:45:00,0,0
44,21/11/2017 , 02:00:00,0,0
45,21/11/2017 , 02:15:00,0,0
46,21/11/2017 , 02:30:00,0,0
47,21/11/2017 , 02:45:00,0,0
48,21/11/2017 , 03:00:00,0,0
49,21/11/2017 , 03:15:00,0,0
50,21/11/2017 , 03:30:00,0,0
51,21/11/2017 , 03:45:00,0,0
52,21/11/2017 , 04:00:00,0,0
53,21/11/2017 , 04:15:00,0,0
54,21/11/2017 , 04:30:00,0,0
55,21/11/2017 , 04:45:00,0,0
56,21/11/2017 , 05:00:00,0,0
57,21/11/2017 , 05:15:00,0,0
58,21/11/2017 , 05:30:00,0,0
59,21/11/2017 , 05:45:00,0,0
60,21/11/2017 , 06:00:00,0,0
61,21/11/2017 , 06:15:00,0,0
62,21/11/2017 , 06:30:00,0,0
63,21/11/2017 , 06:45:00,10,10
64,21/11/2017 , 07:00:00,68,68
65,21/11/2017 , 07:15:00,157,157
66,21/11/2017 , 07:30:00,245,245
67,21/11/2017 , 07:45:00,309,309
68,21/11/2017 , 08:00:00,662,662
69,21/11/2017 , 08:15:00,787,787
70,21/11/2017 , 08:30:00,981,981
71,21/11/2017 , 08:45:00,1044,1044
72,21/11/2017 , 09:00:00,1323,1323
73,21/11/2017 , 09:15:00,1435,1435
74,21/11/2017 , 09:30:00,2343,2343
75,21/11/2017 , 09:45:00,2456,2456
76,21/11/2017 , 10:00:00,2428,2428
77,21/11/2017 , 10:15:00,3267,3267
78,21/11/2017 , 10:30:00,4715,4715
79,21/11/2017 , 10:45:00,3957,3957
80,21/11/2017 , 11:00:00,2313,2313
81,21/11/2017 , 11:15:00,2078,2078
82,21/11/2017 , 11:30:00,2509,2509
83,21/11/2017 , 11:45:00,3393,3393
84,21/11/2017 , 12:00:00,3731,3731
85,21/11/2017 , 12:15:00,3197,3197
86,21/11/2017 , 12:30:00,3864,3864
87,21/11/2017 , 12:45:00,4500,4500
88,21/11/2017 , 13:00:00,4435,4435
89,21/11/2017 , 13:15:00,4093,4093
90,21/11/2017 , 13:30:00,4095,4095
91,21/11/2017 , 13:45:00,4230,4230
92,21/11/2017 , 14:00:00,3933,3933
93,21/11/2017 , 14:15:00,3776,3776
94,21/11/2017 , 14:30:00,3540,3540
95,21/11/2017 , 14:45:00,3886,3886
96,21/11/2017 , 15:00:00,1693,1693
97,21/11/2017 , 15:15:00,855,855
98,21/11/2017 , 15:30:00,572,572
99,21/11/2017 , 15:45:00,2256,2256
100,21/11/2017 , 16:00:00,2120,2120
101,21/11/2017 , 16:15:00,1646,1646
102,21/11/2017 , 16:30:00,355,355
103,21/11/2017 , 16:45:00,404,404
104,21/11/2017 , 17:00:00,313,313
105,21/11/2017 , 17:15:00,216,216
106,21/11/2017 , 17:30:00,110,110
107,21/11/2017 , 17:45:00,61,61
108,21/11/2017 , 18:00:00,14,14
109,21/11/2017 , 18:15:00,0,0
