genotype,frag.id
852,1
852,2
852,3
852,4
852,5
853,280
853,281
853,282
853,287
853,288
854,26
854,27
854,28
854,29
855,234
855,235
855,236
855,237
856,206
856,207
856,208
856,209
857,122
857,123
857,124
858,194
858,195
858,196
858,197
859,130
859,131
859,132
859,133
860,154
860,155
860,156
860,157
861,146
861,147
861,148
861,149
862,6
862,7
862,8
862,9
863,126
863,127
863,128
863,129
864,18
864,19
864,20
864,21
865,251
865,253
865,254
865,255
866,117
866,118
866,119
866,120
866,121
867,14
867,15
867,16
867,17
867,47
867,48
867,49
867,50
868,109
868,110
868,111
868,112
869,272
869,273
869,274
869,275
870,214
870,215
870,216
870,217
871,39
871,40
871,41
871,42
872,190
872,191
872,192
872,193
873,101
873,102
873,103
873,104
874,284
874,285
874,286
875,113
875,114
875,115
875,116
876,31
876,32
876,33
876,34
877,138
877,139
877,140
877,141
878,134
878,135
878,136
878,137
879,210
879,211
879,212
879,213
880,22
880,23
880,24
880,25
881,105
881,106
881,107
881,108
881,186
881,187
882,247
882,248
882,249
883,268
883,269
883,270
883,271
884,162
885,242
885,243
885,244
885,245
886,10
886,11
886,12
886,13
887,260
887,261
887,262
887,263
888,218
888,219
888,220
888,221
890,158
890,159
890,160
890,161
891,230
891,231
891,232
891,233
892,238
892,239
892,240
892,241
893,43
893,44
893,45
893,46
894,97
894,98
894,99
894,100
894,188
894,264
894,265
894,266
894,267
895,202
895,203
895,204
895,205
896,35
896,36
896,37
896,38
899,150
899,151
899,152
899,153
900,276
900,277
900,278
900,279
901,256
901,257
901,258
901,259
902,226
902,227
902,228
902,229
903,222
903,223
903,224
903,225
905,198
905,199
905,200
905,201
909,57
909,58
909,59
909,75
910,69
910,78
910,79
910,80
911,68
911,81
911,82
911,83
912,51
912,52
912,53
912,64
916,54
916,55
916,56
916,76
920,74
920,87
920,88
920,89
922,70
922,84
922,85
922,86
858,283
UNKNOWN,73
UNKNOWN,142
UNKNOWN,144
