frag.id,mass.g,temp.c,date,days,time.point,notes,light.level,genotype,big.tank,tank,Dry.Weigh.g,propD,dom,mix,mortality
1,1.233,26.048,Oct-29-2017,0,T0,NA,Low Shade,852,13,2,2.493319147588407,0.9026561155403158,D,DC,0
1,1.249,24.469,Nov-29-2017,31,T1,,Low Shade,852,13,2,2.525769725467942,NA,D,NA,10
1,1.277,25.169,Jan-8-2018,60,T2,NA,Low Shade,852,13,2,2.5823487296998184,NA,D,NA,10
2,1.334,24.686,Nov-29-2017,31,T1,95% dead,Natural,852,16,9,2.6976454818976774,NA,D,NA,NA
2,1.331,26.012,Oct-29-2017,0,T0,NA,Natural,852,16,9,2.691492834186373,0.8646334399441393,D,DC,NA
3,1.196,25.978,Oct-29-2017,0,T0,NA,High Shade,852,14,7,2.418503431409147,NA,D,NA,5
3,1.199,25.386,Jan-8-2018,60,T2,NA,High Shade,852,14,7,2.4246044960795983,NA,D,NA,95
3,1.198,24.818,Nov-29-2017,31,T1,25% dead,High Shade,852,14,7,2.4226154524575407,NA,D,NA,25
4,1.047,25.912,Oct-29-2017,0,T0,NA,Medium Shade,852,17,15,2.117204949855593,0.9052805544104694,D,DC,0
4,1.046,26.698,Jan-8-2018,60,T2,NA,Medium Shade,852,17,15,2.1151427157920084,NA,D,NA,55
4,1.05,24.171,Nov-29-2017,31,T1,,Medium Shade,852,17,15,2.1233604810314195,NA,D,NA,0
6,1.838,24.613,Nov-29-2017,31,T1,,Natural,862,13,1,3.7168524079962473,NA,D,NA,75
6,1.807,25.202,Jan-8-2018,60,T2,NA,Natural,862,13,1,3.654111546766757,0.9709010485310224,D,DC,75
6,1.81,25.3,Oct-30-2017,1,T0,NA,Natural,862,13,1,3.660169499587516,0.9844619389914544,D,DC,10
7,1.359,26.04,Jan-8-2018,60,T2,NA,Low Shade,862,17,14,2.7481114151168993,NA,D,NA,100
7,2.823,24.463,Oct-29-2017,0,T0,NA,Low Shade,862,17,14,5.708766185073931,0.9902928033999095,D,DC,0
7,2.833,24.371,Nov-29-2017,31,T1,,Low Shade,862,17,14,5.729001214924194,NA,D,NA,30
8,4.355,24.82,Oct-29-2017,0,T0,NA,High Shade,862,16,12,8.806752743953913,NA,D,NA,NA
8,4.368,25.368,Jan-8-2018,60,T2,NA,High Shade,862,16,12,8.832924963620291,NA,D,NA,NA
8,4.351,23.551,Nov-29-2017,31,T1,25% bleach,High Shade,862,16,12,8.79893270418476,NA,D,NA,NA
9,1.268,23.596,Nov-29-2017,31,T1,,Medium Shade,862,14,8,2.564246054907295,NA,D,NA,NA
9,1.261,24.509,Oct-29-2017,0,T0,NA,Medium Shade,862,14,8,2.5500340720919543,0.9794722136266932,D,DC,5
9,1.278,25.478,Jan-8-2018,60,T2,NA,Medium Shade,862,14,8,2.5843516914714355,0.9517237568474596,D,DC,40
10,3.434,25.369,Jan-8-2018,60,T2,NA,Medium Shade,886,16,11,6.944199540829432,NA,D,NA,0
10,3.429,23.555,Nov-29-2017,31,T1,,Medium Shade,886,16,11,6.934391481945144,NA,D,NA,0
10,3.426,25.31,Oct-30-2017,1,T0,NA,Medium Shade,886,16,11,6.928031870032985,0.9846032698180484,D,DC,0
11,2.422,24.616,Nov-29-2017,31,T1,,Natural,886,17,13,4.897832362245747,NA,D,NA,0
11,2.46,25.231,Jan-8-2018,60,T2,NA,Natural,886,17,13,4.974603279159823,0.9768363966605628,D,DC,10
11,2.405,24.493,Oct-29-2017,0,T0,NA,Natural,886,17,13,4.863468918511405,0.9866495922552933,D,DC,5
12,1.143,24.704,Oct-29-2017,0,T0,NA,High Shade,886,13,3,2.3113998869570427,1,D,D,0
12,1.812,25.279,Jan-8-2018,60,T2,NA,High Shade,886,13,3,3.664215739452138,NA,D,NA,100
12,1.144,24.168,Nov-29-2017,31,T1,dead,High Shade,886,13,3,2.3134519673811087,NA,D,NA,100
13,2.043,23.799,Nov-29-2017,31,T1,,Low Shade,886,14,6,4.131489820600082,NA,D,NA,0
13,2.042,24.785,Oct-29-2017,0,T0,NA,Low Shade,886,14,6,4.129369520538025,0.9738640802643722,D,DC,0
13,2.053,25.594,Jan-8-2018,60,T2,NA,Low Shade,886,14,6,4.151533015991134,0.9768316696183004,D,DC,0
14,2.788,23.975,Nov-29-2017,31,T1,,Natural,867,14,5,5.638054243073689,NA,C,NA,0
14,2.681,25.274,Oct-30-2017,1,T0,NA,Natural,867,14,5,5.421503079871732,0,C,C,0
14,3.009,25.69,Jan-8-2018,60,T2,NA,Natural,867,14,5,6.084721846407506,0,C,C,0
15,2.66,24.501,Nov-29-2017,31,T1,,Low Shade,867,17,14,5.379137143904912,NA,C,NA,0
15,2.622,26.248,Oct-29-2017,0,T0,NA,Low Shade,867,17,14,5.302069175759085,0,C,C,0
15,2.71,26.707,Jan-8-2018,60,T2,NA,Low Shade,867,17,14,5.4799574724045135,NA,C,NA,0
