location,wavelength,Kd
nearshore,400.2697337,0.83790877
nearshore,450.0631251,0.601142548
nearshore,500.7963533,0.455744236
nearshore,550.3058586,0.366745816
nearshore,600.7436639,0.450157173
nearshore,650.0436173,0.646671616
nearshore,700.3066911,0.963595691
offshore,400.0088952,0.356437449
offshore,450.0593756,0.240789533
offshore,500.0341584,0.188752792
offshore,550.1492978,0.1836696
offshore,600.0369246,0.298805513
offshore,650.6496186,0.502794378
offshore,699.9359899,0.790439814
