Site Name ,TANK10
Site Number ,10
Logger ,Integrating Light Sensor
Logger Serial Number ,7278


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,04/12/2017 , 14:15:00,1893,1893
2,04/12/2017 , 14:30:00,1337,1337
3,04/12/2017 , 14:45:00,1398,1398
4,04/12/2017 , 15:00:00,1379,1379
5,04/12/2017 , 15:15:00,1014,1014
6,04/12/2017 , 15:30:00,765,765
7,04/12/2017 , 15:45:00,907,907
8,04/12/2017 , 16:00:00,634,634
9,04/12/2017 , 16:15:00,464,464
10,04/12/2017 , 16:30:00,405,405
11,04/12/2017 , 16:45:00,264,264
12,04/12/2017 , 17:00:00,220,220
13,04/12/2017 , 17:15:00,193,193
14,04/12/2017 , 17:30:00,88,88
15,04/12/2017 , 17:45:00,47,47
16,04/12/2017 , 18:00:00,11,11
17,04/12/2017 , 18:15:00,1,1
18,04/12/2017 , 18:30:00,0,0
19,04/12/2017 , 18:45:00,0,0
20,04/12/2017 , 19:00:00,0,0
21,04/12/2017 , 19:15:00,0,0
22,04/12/2017 , 19:30:00,0,0
23,04/12/2017 , 19:45:00,0,0
24,04/12/2017 , 20:00:00,0,0
25,04/12/2017 , 20:15:00,0,0
26,04/12/2017 , 20:30:00,0,0
27,04/12/2017 , 20:45:00,0,0
28,04/12/2017 , 21:00:00,0,0
29,04/12/2017 , 21:15:00,0,0
30,04/12/2017 , 21:30:00,0,0
31,04/12/2017 , 21:45:00,0,0
32,04/12/2017 , 22:00:00,0,0
33,04/12/2017 , 22:15:00,0,0
34,04/12/2017 , 22:30:00,0,0
35,04/12/2017 , 22:45:00,0,0
36,04/12/2017 , 23:00:00,0,0
37,04/12/2017 , 23:15:00,0,0
38,04/12/2017 , 23:30:00,0,0
39,04/12/2017 , 23:45:00,0,0
40,04/12/2017 , 24:00:00,0,0
41,05/12/2017 , 00:15:00,0,0
42,05/12/2017 , 00:30:00,0,0
43,05/12/2017 , 00:45:00,0,0
44,05/12/2017 , 01:00:00,0,0
45,05/12/2017 , 01:15:00,0,0
46,05/12/2017 , 01:30:00,0,0
47,05/12/2017 , 01:45:00,0,0
48,05/12/2017 , 02:00:00,0,0
49,05/12/2017 , 02:15:00,0,0
50,05/12/2017 , 02:30:00,0,0
51,05/12/2017 , 02:45:00,0,0
52,05/12/2017 , 03:00:00,0,0
53,05/12/2017 , 03:15:00,0,0
54,05/12/2017 , 03:30:00,0,0
55,05/12/2017 , 03:45:00,0,0
56,05/12/2017 , 04:00:00,0,0
57,05/12/2017 , 04:15:00,0,0
58,05/12/2017 , 04:30:00,0,0
59,05/12/2017 , 04:45:00,0,0
60,05/12/2017 , 05:00:00,0,0
61,05/12/2017 , 05:15:00,0,0
62,05/12/2017 , 05:30:00,0,0
63,05/12/2017 , 05:45:00,0,0
64,05/12/2017 , 06:00:00,0,0
65,05/12/2017 , 06:15:00,0,0
66,05/12/2017 , 06:30:00,0,0
67,05/12/2017 , 06:45:00,1,1
68,05/12/2017 , 07:00:00,8,8
69,05/12/2017 , 07:15:00,62,62
70,05/12/2017 , 07:30:00,182,182
71,05/12/2017 , 07:45:00,239,239
72,05/12/2017 , 08:00:00,303,303
73,05/12/2017 , 08:15:00,371,371
74,05/12/2017 , 08:30:00,625,625
75,05/12/2017 , 08:45:00,649,649
76,05/12/2017 , 09:00:00,968,968
77,05/12/2017 , 09:15:00,1240,1240
78,05/12/2017 , 09:30:00,1388,1388
79,05/12/2017 , 09:45:00,1846,1846
80,05/12/2017 , 10:00:00,1944,1944
81,05/12/2017 , 10:15:00,1857,1857
82,05/12/2017 , 10:30:00,2126,2126
83,05/12/2017 , 10:45:00,2197,2197
84,05/12/2017 , 11:00:00,3711,3711
85,05/12/2017 , 11:15:00,5022,5022
86,05/12/2017 , 11:30:00,5187,5187
87,05/12/2017 , 11:45:00,4221,4221
88,05/12/2017 , 12:00:00,3542,3542
89,05/12/2017 , 12:15:00,3540,3540
90,05/12/2017 , 12:30:00,4564,4564
91,05/12/2017 , 12:45:00,4162,4162
92,05/12/2017 , 13:00:00,4502,4502
93,05/12/2017 , 13:15:00,4697,4697
94,05/12/2017 , 13:30:00,3106,3106
95,05/12/2017 , 13:45:00,2360,2360
96,05/12/2017 , 14:00:00,1969,1969
97,05/12/2017 , 14:15:00,1951,1951
98,05/12/2017 , 14:30:00,1870,1870
99,05/12/2017 , 14:45:00,1474,1474
100,05/12/2017 , 15:00:00,1459,1459
101,05/12/2017 , 15:15:00,1209,1209
102,05/12/2017 , 15:30:00,974,974
103,05/12/2017 , 15:45:00,1052,1052
104,05/12/2017 , 16:00:00,826,826
105,05/12/2017 , 16:15:00,571,571
106,05/12/2017 , 16:30:00,569,569
107,05/12/2017 , 16:45:00,473,473
108,05/12/2017 , 17:00:00,479,479
109,05/12/2017 , 17:15:00,301,301
