Site Name ,MARIAHO
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,10959


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,22/10/2017 , 14:15:00,0,0
2,22/10/2017 , 14:30:00,63,63
3,22/10/2017 , 14:45:00,143,143
4,22/10/2017 , 15:00:00,11093,11093
5,22/10/2017 , 15:15:00,9236,9236
6,22/10/2017 , 15:30:00,6281,6281
7,22/10/2017 , 15:45:00,6235,6235
8,22/10/2017 , 16:00:00,3764,3764
9,22/10/2017 , 16:15:00,913,913
10,22/10/2017 , 16:30:00,448,448
11,22/10/2017 , 16:45:00,525,525
12,22/10/2017 , 17:00:00,578,578
13,22/10/2017 , 17:15:00,445,445
14,22/10/2017 , 17:30:00,209,209
15,22/10/2017 , 17:45:00,102,102
16,22/10/2017 , 18:00:00,45,45
17,22/10/2017 , 18:15:00,6,6
18,22/10/2017 , 18:30:00,0,0
19,22/10/2017 , 18:45:00,0,0
20,22/10/2017 , 19:00:00,0,0
21,22/10/2017 , 19:15:00,0,0
22,22/10/2017 , 19:30:00,0,0
23,22/10/2017 , 19:45:00,0,0
24,22/10/2017 , 20:00:00,0,0
25,22/10/2017 , 20:15:00,0,0
26,22/10/2017 , 20:30:00,0,0
27,22/10/2017 , 20:45:00,0,0
28,22/10/2017 , 21:00:00,0,0
29,22/10/2017 , 21:15:00,0,0
30,22/10/2017 , 21:30:00,0,0
31,22/10/2017 , 21:45:00,0,0
32,22/10/2017 , 22:00:00,0,0
33,22/10/2017 , 22:15:00,0,0
34,22/10/2017 , 22:30:00,0,0
35,22/10/2017 , 22:45:00,0,0
36,22/10/2017 , 23:00:00,0,0
37,22/10/2017 , 23:15:00,0,0
38,22/10/2017 , 23:30:00,0,0
39,22/10/2017 , 23:45:00,0,0
40,22/10/2017 , 24:00:00,0,0
41,23/10/2017 , 00:15:00,0,0
42,23/10/2017 , 00:30:00,0,0
43,23/10/2017 , 00:45:00,0,0
44,23/10/2017 , 01:00:00,0,0
45,23/10/2017 , 01:15:00,0,0
46,23/10/2017 , 01:30:00,0,0
47,23/10/2017 , 01:45:00,0,0
48,23/10/2017 , 02:00:00,0,0
49,23/10/2017 , 02:15:00,0,0
50,23/10/2017 , 02:30:00,0,0
51,23/10/2017 , 02:45:00,0,0
52,23/10/2017 , 03:00:00,0,0
53,23/10/2017 , 03:15:00,0,0
54,23/10/2017 , 03:30:00,0,0
55,23/10/2017 , 03:45:00,0,0
56,23/10/2017 , 04:00:00,0,0
57,23/10/2017 , 04:15:00,0,0
58,23/10/2017 , 04:30:00,0,0
59,23/10/2017 , 04:45:00,0,0
60,23/10/2017 , 05:00:00,0,0
61,23/10/2017 , 05:15:00,0,0
62,23/10/2017 , 05:30:00,0,0
63,23/10/2017 , 05:45:00,0,0
64,23/10/2017 , 06:00:00,0,0
65,23/10/2017 , 06:15:00,0,0
66,23/10/2017 , 06:30:00,4,4
67,23/10/2017 , 06:45:00,40,40
68,23/10/2017 , 07:00:00,97,97
69,23/10/2017 , 07:15:00,231,231
70,23/10/2017 , 07:30:00,424,424
71,23/10/2017 , 07:45:00,427,427
72,23/10/2017 , 08:00:00,703,703
73,23/10/2017 , 08:15:00,997,997
74,23/10/2017 , 08:30:00,837,837
75,23/10/2017 , 08:45:00,1101,1101
76,23/10/2017 , 09:00:00,1238,1238
77,23/10/2017 , 09:15:00,1219,1219
78,23/10/2017 , 09:30:00,1246,1246
79,23/10/2017 , 09:45:00,1162,1162
80,23/10/2017 , 10:00:00,1663,1663
81,23/10/2017 , 10:15:00,1659,1659
82,23/10/2017 , 10:30:00,1253,1253
83,23/10/2017 , 10:45:00,1055,1055
84,23/10/2017 , 11:00:00,623,623
85,23/10/2017 , 11:15:00,758,758
86,23/10/2017 , 11:30:00,686,686
87,23/10/2017 , 11:45:00,589,589
88,23/10/2017 , 12:00:00,456,456
89,23/10/2017 , 12:15:00,750,750
90,23/10/2017 , 12:30:00,610,610
91,23/10/2017 , 12:45:00,269,269
92,23/10/2017 , 13:00:00,311,311
93,23/10/2017 , 13:15:00,341,341
94,23/10/2017 , 13:30:00,295,295
95,23/10/2017 , 13:45:00,209,209
96,23/10/2017 , 14:00:00,112,112
97,23/10/2017 , 14:15:00,111,111
98,23/10/2017 , 14:30:00,86,86
99,23/10/2017 , 14:45:00,96,96
100,23/10/2017 , 15:00:00,96,96
101,23/10/2017 , 15:15:00,111,111
102,23/10/2017 , 15:30:00,102,102
103,23/10/2017 , 15:45:00,99,99
104,23/10/2017 , 16:00:00,109,109
105,23/10/2017 , 16:15:00,98,98
106,23/10/2017 , 16:30:00,85,85
107,23/10/2017 , 16:45:00,75,75
108,23/10/2017 , 17:00:00,76,76
109,23/10/2017 , 17:15:00,85,85
110,23/10/2017 , 17:30:00,65,65
111,23/10/2017 , 17:45:00,30,30
