Site Name ,PAR7280
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,7280


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,08/11/2017 , 16:15:00,588,588
2,08/11/2017 , 16:30:00,610,610
3,08/11/2017 , 16:45:00,598,598
4,08/11/2017 , 17:00:00,512,512
5,08/11/2017 , 17:15:00,339,339
6,08/11/2017 , 17:30:00,178,178
7,08/11/2017 , 17:45:00,83,83
8,08/11/2017 , 18:00:00,23,23
9,08/11/2017 , 18:15:00,0,0
10,08/11/2017 , 18:30:00,0,0
11,08/11/2017 , 18:45:00,0,0
12,08/11/2017 , 19:00:00,0,0
13,08/11/2017 , 19:15:00,0,0
14,08/11/2017 , 19:30:00,0,0
15,08/11/2017 , 19:45:00,0,0
16,08/11/2017 , 20:00:00,0,0
17,08/11/2017 , 20:15:00,0,0
18,08/11/2017 , 20:30:00,0,0
19,08/11/2017 , 20:45:00,0,0
20,08/11/2017 , 21:00:00,0,0
21,08/11/2017 , 21:15:00,0,0
22,08/11/2017 , 21:30:00,0,0
23,08/11/2017 , 21:45:00,0,0
24,08/11/2017 , 22:00:00,0,0
25,08/11/2017 , 22:15:00,0,0
26,08/11/2017 , 22:30:00,0,0
27,08/11/2017 , 22:45:00,0,0
28,08/11/2017 , 23:00:00,0,0
29,08/11/2017 , 23:15:00,0,0
30,08/11/2017 , 23:30:00,0,0
31,08/11/2017 , 23:45:00,0,0
32,08/11/2017 , 24:00:00,0,0
33,09/11/2017 , 00:15:00,0,0
34,09/11/2017 , 00:30:00,0,0
35,09/11/2017 , 00:45:00,0,0
36,09/11/2017 , 01:00:00,0,0
37,09/11/2017 , 01:15:00,0,0
38,09/11/2017 , 01:30:00,0,0
39,09/11/2017 , 01:45:00,0,0
40,09/11/2017 , 02:00:00,0,0
41,09/11/2017 , 02:15:00,0,0
42,09/11/2017 , 02:30:00,0,0
43,09/11/2017 , 02:45:00,0,0
44,09/11/2017 , 03:00:00,0,0
45,09/11/2017 , 03:15:00,0,0
46,09/11/2017 , 03:30:00,0,0
47,09/11/2017 , 03:45:00,0,0
48,09/11/2017 , 04:00:00,0,0
49,09/11/2017 , 04:15:00,0,0
50,09/11/2017 , 04:30:00,0,0
51,09/11/2017 , 04:45:00,0,0
52,09/11/2017 , 05:00:00,0,0
53,09/11/2017 , 05:15:00,0,0
54,09/11/2017 , 05:30:00,0,0
55,09/11/2017 , 05:45:00,0,0
56,09/11/2017 , 06:00:00,0,0
57,09/11/2017 , 06:15:00,0,0
58,09/11/2017 , 06:30:00,1,1
59,09/11/2017 , 06:45:00,33,33
60,09/11/2017 , 07:00:00,118,118
61,09/11/2017 , 07:15:00,304,304
62,09/11/2017 , 07:30:00,212,212
63,09/11/2017 , 07:45:00,719,719
64,09/11/2017 , 08:00:00,352,352
65,09/11/2017 , 08:15:00,420,420
66,09/11/2017 , 08:30:00,812,812
67,09/11/2017 , 08:45:00,1340,1340
68,09/11/2017 , 09:00:00,1318,1318
69,09/11/2017 , 09:15:00,2102,2102
70,09/11/2017 , 09:30:00,2426,2426
71,09/11/2017 , 09:45:00,1816,1816
72,09/11/2017 , 10:00:00,3584,3584
73,09/11/2017 , 10:15:00,4081,4081
74,09/11/2017 , 10:30:00,3778,3778
75,09/11/2017 , 10:45:00,2981,2981
76,09/11/2017 , 11:00:00,3152,3152
77,09/11/2017 , 11:15:00,4619,4619
78,09/11/2017 , 11:30:00,3696,3696
79,09/11/2017 , 11:45:00,3680,3680
80,09/11/2017 , 12:00:00,5770,5770
81,09/11/2017 , 12:15:00,4522,4522
82,09/11/2017 , 12:30:00,4244,4244
83,09/11/2017 , 12:45:00,3268,3268
84,09/11/2017 , 13:00:00,2810,2810
85,09/11/2017 , 13:15:00,4379,4379
86,09/11/2017 , 13:30:00,3639,3639
87,09/11/2017 , 13:45:00,2897,2897
88,09/11/2017 , 14:00:00,3124,3124
89,09/11/2017 , 14:15:00,4053,4053
90,09/11/2017 , 14:30:00,3046,3046
91,09/11/2017 , 14:45:00,2942,2942
92,09/11/2017 , 15:00:00,1460,1460
93,09/11/2017 , 15:15:00,1102,1102
94,09/11/2017 , 15:30:00,1169,1169
95,09/11/2017 , 15:45:00,1122,1122
96,09/11/2017 , 16:00:00,1120,1120
97,09/11/2017 , 16:15:00,722,722
98,09/11/2017 , 16:30:00,676,676
99,09/11/2017 , 16:45:00,590,590
100,09/11/2017 , 17:00:00,221,221
101,09/11/2017 , 17:15:00,166,166
102,09/11/2017 , 17:30:00,121,121
103,09/11/2017 , 17:45:00,74,74
104,09/11/2017 , 18:00:00,23,23
105,09/11/2017 , 18:15:00,1,1
106,09/11/2017 , 18:30:00,0,0
107,09/11/2017 , 18:45:00,0,0
108,09/11/2017 , 19:00:00,0,0
109,09/11/2017 , 19:15:00,0,0
