big.tank,tank,frag.id,tratment
13,2,1,one
13,2,39,one
13,2,64,one
13,2,69,one
13,2,195,one
13,2,203,one
13,2,257,one
13,2,236,one
13,2,275,one
13,2,135,one
13,2,110,one
13,2,190,one
13,2,118,one
13,3,12,three
13,3,17,three
13,3,50,three
13,3,59,three
13,3,76,three
13,3,264,three
13,3,245,three
13,3,218,three
13,3,268,three
13,3,276,three
13,3,141,three
13,3,157,three
13,3,149,three
13,3,101,three
13,4,27,two
13,4,33,two
13,4,45,two
13,4,85,two
13,4,212,two
13,4,249,two
13,4,224,two
13,4,262,two
13,4,132,two
13,4,159,two
13,4,115,two
13,4,120,two
13,1,6,zero
13,1,35,zero
13,1,22,zero
13,1,83,zero
13,1,20,zero
13,1,238,zero
13,1,198,zero
13,1,251,zero
13,1,230,zero
13,1,280,zero
13,1,74,zero
13,1,126,zero
13,1,123,zero
13,1,124,zero
13,1,107,zero
14,6,13,one
14,6,32,one
14,6,44,one
14,6,82,one
14,6,208,one
14,6,248,one
14,6,223,one
14,6,261,one
14,6,278,one
14,6,131,one
14,6,160,one
14,6,114,one
14,6,105,one
14,7,3,three
14,7,38,three
14,7,25,three
14,7,86,three
14,7,197,three
14,7,201,three
14,7,254,three
14,7,232,three
14,7,229,three
14,7,89,three
14,7,129,three
14,7,193,three
14,7,97,three
14,8,9,two
14,8,5,two
14,8,51,two
14,8,79,two
14,8,241,two
14,8,204,two
14,8,258,two
14,8,271,two
14,8,272,two
14,8,136,two
14,8,154,two
14,8,150,two
14,8,104,two
14,5,26,zero
14,5,14,zero
14,5,47,zero
14,5,75,zero
14,5,56,zero
14,5,210,zero
14,5,242,zero
14,5,221,zero
14,5,237,zero
14,5,285,zero
14,5,138,zero
14,5,109,zero
14,5,148,zero
14,5,186,zero
16,10,28,one
16,10,36,one
16,10,23,one
16,10,84,one
16,10,240,one
16,10,199,one
16,10,220,one
16,10,231,one
16,10,281,one
16,10,87,one
16,10,127,one
16,10,153,one
16,10,99,one
16,12,8,three
16,12,40,three
16,12,46,three
16,12,68,three
16,12,213,three
16,12,283,three
16,12,225,three
16,12,263,three
16,12,216,three
16,12,133,three
16,12,158,three
16,12,116,three
16,12,187,three
16,11,10,two
16,11,16,two
16,11,49,two
16,11,58,two
16,11,54,two
16,11,196,two
16,11,244,two
16,11,253,two
16,11,235,two
16,11,277,two
16,11,140,two
16,11,111,two
16,11,146,two
16,11,106,two
16,9,2,zero
16,9,31,zero
16,9,53,zero
16,9,78,zero
16,9,206,zero
16,9,202,zero
16,9,256,zero
16,9,269,zero
16,9,274,zero
16,9,134,zero
16,9,156,zero
16,9,191,zero
16,9,102,zero
17,14,7,one
17,14,15,one
17,14,48,one
17,14,57,one
17,14,55,one
17,14,211,one
17,14,243,one
17,14,255,one
17,14,270,one
17,14,286,one
17,14,139,one
17,14,155,one
17,14,147,one
17,14,103,one
17,16,29,three
17,16,34,three
17,16,52,three
17,16,80,three
17,16,265,three
17,16,205,three
17,16,259,three
17,16,234,three
17,16,273,three
17,16,137,three
17,16,112,three
17,16,151,three
17,16,121,three
17,16,108,three
17,15,4,two
17,15,37,two
17,15,24,two
17,15,81,two
17,15,21,two
17,15,209,two
17,15,200,two
17,15,219,two
17,15,233,two
17,15,288,two
17,15,88,two
17,15,128,two
17,15,192,two
17,15,98,two
17,13,11,zero
17,13,41,zero
17,13,43,zero
17,13,70,zero
17,13,194,zero
17,13,247,zero
17,13,222,zero
17,13,260,zero
17,13,279,zero
17,13,130,zero
17,13,161,zero
17,13,113,zero
17,13,117,zero
14,6,73,one
17,14,142,one
17,15,144,two
