genotype,depth.m
851,2.7
852,2.7
853,3.2
854,2.6
855,2.5
856,3.3
857,2.7
858,2.4
859,2.8
860,3.2
861,2.1
862,2.9
863,3
864,3.4
865,2.4
866,2.7
867,2.7
868,2
869,2.3
870,2.3
871,2.3
872,2.7
873,2.6
874,2.3
875,2.7
876,2
877,2.7
878,2.4
879,2.5
880,2.4
881,2.7
882,2.4
883,2.6
884,2.8
885,2.7
886,2.3
887,2.5
888,2.7
889,2.6
890,2.7
891,3.4
892,2.8
893,2.7
894,2.9
895,2.4
896,2.5
897,2.5
898,2.8
899,2.3
900,2.8
901,2.5
902,2.6
903,2.3
904,2.3
905,3.1
912,
916,
909,
911,
910,
922,
920,
