frag.id,time.point,percent.mort
1,T0,0
1,T1,10
1,T2,10
2,T0,40
2,T1,95
2,T2,100
3,T1,25
3,T0,5
3,T2,95
4,T0,0
4,T1,0
4,T2,55
6,T0,10
6,T1,75
6,T2,75
7,T0,0
7,T1,30
7,T2,100
8,T0,50
8,T1,65
8,T2,85
9,T0,5
9,T2,40
10,T0,0
10,T1,0
10,T2,0
11,T0,5
11,T1,0
11,T2,10
12,T0,0
12,T1,100
13,T0,0
13,T1,0
13,T2,0
14,T0,0
14,T1,0
14,T2,0
15,T0,0
15,T1,0
15,T2,0
16,T0,0
16,T1,0
16,T2,0
17,T0,0
17,T1,0
17,T2,0
20,T0,0
20,T1,0
20,T2,0
21,T0,0
21,T1,85
21,T2,95
24,T0,0
24,T1,0
24,T2,0
25,T2,0
26,T0,0
26,T2,0
27,T0,0
27,T1,0
27,T2,0
28,T0,5
28,T1,0
28,T2,0
29,T0,0
29,T1,0
29,T2,25
31,T0,0
31,T1,0
31,T2,0
32,T0,50
32,T1,30
32,T2,30
33,T0,0
33,T1,0
33,T2,0
34,T0,0
34,T1,0
34,T2,0
35,T0,0
35,T1,0
35,T2,0
36,T0,0
36,T1,0
36,T2,0
37,T0,0
37,T1,0
37,T2,0
38,T0,0
38,T2,0
40,T0,0
40,T1,0
40,T2,0
41,T0,0
41,T1,0
41,T2,0
43,T0,0
43,T1,0
43,T2,0
44,T0,0
44,T1,0
44,T2,0
45,T0,0
45,T1,0
45,T2,0
46,T0,0
46,T1,0
46,T2,0
47,T0,0
47,T1,0
47,T2,0
48,T0,5
48,T1,15
48,T2,40
49,T0,0
49,T1,10
49,T2,20
50,T0,0
50,T1,90
50,T2,90
51,T0,0
51,T1,0
51,T2,0
52,T0,0
52,T2,100
53,T0,0
53,T1,0
53,T2,0
54,T0,0
54,T1,0
54,T2,0
55,T0,0
55,T1,0
55,T2,0
56,T0,0
56,T1,0
56,T2,0
57,T0,20
57,T1,20
57,T2,20
58,T0,0
58,T1,0
58,T2,0
59,T0,0
59,T1,10
59,T2,100
64,T0,0
64,T1,0
64,T2,10
68,T0,0
68,T1,0
68,T2,25
69,T0,0
69,T1,0
69,T2,0
70,T0,0
70,T1,0
70,T2,0
73,T0,15
73,T1,20
73,T2,25
74,T0,0
74,T1,0
74,T2,0
75,T0,0
75,T1,0
75,T2,0
76,T0,0
76,T2,25
78,T0,0
78,T1,0
78,T2,0
79,T0,0
79,T1,0
79,T2,0
80,T0,0
80,T1,0
80,T2,15
81,T0,0
81,T1,0
81,T2,15
82,T0,5
82,T1,80
82,T2,80
83,T0,0
83,T1,0
83,T2,0
84,T0,0
84,T1,0
84,T2,0
85,T0,0
85,T1,5
85,T2,25
86,T0,0
86,T2,100
87,T0,0
87,T1,0
87,T2,0
88,T0,0
88,T1,0
88,T2,0
89,T0,0
89,T2,0
97,T0,60
97,T1,70
97,T2,100
101,T0,0
101,T1,0
101,T2,0
102,T0,0
102,T1,0
102,T2,0
103,T0,0
103,T1,0
103,T2,0
104,T0,0
104,T2,0
105,T0,0
105,T1,0
105,T2,0
106,T0,5
106,T1,0
106,T2,0
107,T0,0
107,T1,0
107,T2,0
108,T0,0
108,T1,5
108,T2,45
