frag.id,days,time.point,notes,light.level,genotype,big.tank,tank,Dry.Weigh.g,propD,dom,mix,mortality
1,0,T0,NA,Low Shade,852,13,2,2.493319147588407,0.9026561155403158,D,DC,0
1,31,T1,,Low Shade,852,13,2,2.525769725467942,NA,D,NA,10
1,60,T2,NA,Low Shade,852,13,2,2.5823487296998184,NA,D,NA,10
2,31,T1,95% dead,Natural,852,16,9,2.6976454818976774,NA,D,NA,NA
2,0,T0,NA,Natural,852,16,9,2.691492834186373,0.8646334399441393,D,DC,NA
3,0,T0,NA,High Shade,852,14,7,2.418503431409147,NA,D,NA,5
3,60,T2,NA,High Shade,852,14,7,2.4246044960795983,NA,D,NA,95
3,31,T1,25% dead,High Shade,852,14,7,2.4226154524575407,NA,D,NA,25
4,0,T0,NA,Medium Shade,852,17,15,2.117204949855593,0.9052805544104694,D,DC,0
4,60,T2,NA,Medium Shade,852,17,15,2.1151427157920084,NA,D,NA,55
4,31,T1,,Medium Shade,852,17,15,2.1233604810314195,NA,D,NA,0
6,31,T1,,Natural,862,13,1,3.7168524079962473,NA,D,NA,75
6,60,T2,NA,Natural,862,13,1,3.654111546766757,0.9709010485310224,D,DC,75
6,1,T0,NA,Natural,862,13,1,3.660169499587516,0.9844619389914544,D,DC,10
7,60,T2,NA,Low Shade,862,17,14,2.7481114151168993,NA,D,NA,100
7,0,T0,NA,Low Shade,862,17,14,5.708766185073931,0.9902928033999095,D,DC,0
7,31,T1,,Low Shade,862,17,14,5.729001214924194,NA,D,NA,30
8,0,T0,NA,High Shade,862,16,12,8.806752743953913,NA,D,NA,NA
8,60,T2,NA,High Shade,862,16,12,8.832924963620291,NA,D,NA,NA
8,31,T1,25% bleach,High Shade,862,16,12,8.79893270418476,NA,D,NA,NA
9,31,T1,,Medium Shade,862,14,8,2.564246054907295,NA,D,NA,NA
9,0,T0,NA,Medium Shade,862,14,8,2.5500340720919543,0.9794722136266932,D,DC,5
9,60,T2,NA,Medium Shade,862,14,8,2.5843516914714355,0.9517237568474596,D,DC,40
10,60,T2,NA,Medium Shade,886,16,11,6.944199540829432,NA,D,NA,0
10,31,T1,,Medium Shade,886,16,11,6.934391481945144,NA,D,NA,0
10,1,T0,NA,Medium Shade,886,16,11,6.928031870032985,0.9846032698180484,D,DC,0
11,31,T1,,Natural,886,17,13,4.897832362245747,NA,D,NA,0
11,60,T2,NA,Natural,886,17,13,4.974603279159823,0.9768363966605628,D,DC,10
11,0,T0,NA,Natural,886,17,13,4.863468918511405,0.9866495922552933,D,DC,5
12,0,T0,NA,High Shade,886,13,3,2.3113998869570427,1,D,D,0
12,60,T2,NA,High Shade,886,13,3,3.664215739452138,NA,D,NA,100
12,31,T1,dead,High Shade,886,13,3,2.3134519673811087,NA,D,NA,100
13,31,T1,,Low Shade,886,14,6,4.131489820600082,NA,D,NA,0
13,0,T0,NA,Low Shade,886,14,6,4.129369520538025,0.9738640802643722,D,DC,0
13,60,T2,NA,Low Shade,886,14,6,4.151533015991134,0.9768316696183004,D,DC,0
14,31,T1,,Natural,867,14,5,5.638054243073689,NA,C,NA,0
14,1,T0,NA,Natural,867,14,5,5.421503079871732,0,C,C,0
14,60,T2,NA,Natural,867,14,5,6.084721846407506,0,C,C,0
15,31,T1,,Low Shade,867,17,14,5.379137143904912,NA,C,NA,0
15,0,T0,NA,Low Shade,867,17,14,5.302069175759085,0,C,C,0
15,60,T2,NA,Low Shade,867,17,14,5.4799574724045135,NA,C,NA,0
16,60,T2,NA,Medium Shade,867,16,11,4.313307733329589,0,C,C,0
16,0,T0,NA,Medium Shade,867,16,11,4.291204014137972,0,C,C,0
16,31,T1,,Medium Shade,867,16,11,4.307444189974391,NA,C,NA,0
17,60,T2,NA,High Shade,867,13,3,8.828806559886058,0,C,C,0
17,0,T0,NA,High Shade,867,13,3,8.774504407573295,0,C,C,0
17,31,T1,,High Shade,867,13,3,8.825091033726485,NA,C,NA,0
20,0,T0,NA,Natural,864,13,1,2.7360411622286755,0.8040952357357234,D,DC,0
20,31,T1,,Natural,864,13,1,2.7684264870221855,NA,D,NA,0
21,60,T2,NA,Medium Shade,864,17,15,4.784354823469619,NA,D,NA,95
21,31,T1,70% dead,Medium Shade,864,17,15,4.762379430247223,NA,D,NA,85
21,0,T0,NA,Medium Shade,864,17,15,4.780531487742923,0.9451867990687868,D,DC,0
24,0,T0,NA,Medium Shade,880,17,15,5.3425844691207915,0.9019620219695704,D,DC,0
24,31,T1,,Medium Shade,880,17,15,5.377160226392045,NA,D,NA,0
26,60,T2,NA,Natural,854,14,5,2.31740642945893,NA,D,NA,0
26,0,T0,NA,Natural,854,14,5,2.2182902320818356,0.9889246537521296,D,DC,0
26,31,T1,,Natural,854,14,5,2.236617465561127,NA,D,NA,NA
27,31,T1,,Medium Shade,854,13,4,3.654195413008255,NA,D,NA,0
27,60,T2,NA,Medium Shade,854,13,4,3.652044916372409,0.974908133109577,D,DC,0
