Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\gatescorallab\Desktop\TaqMan_Std.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE
A1,,,,,,,,,,,,,,,,,,N,N,N
A2,205,C,UNKNOWN,VIC,NFQ-MGB,26.28037643,26.35861778,0.110649973,,,,FALSE,0.01,FALSE,6,20,,N,N,N
A2,205,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N,N
A3,205,C,UNKNOWN,VIC,NFQ-MGB,26.43685913,26.35861778,0.110649973,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
A3,205,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
A4,258,C,UNKNOWN,VIC,NFQ-MGB,29.19060326,29.20903778,0.026071703,,,,FALSE,0.01,FALSE,6,20,,N,N,N
A4,258,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N,N
A5,258,C,UNKNOWN,VIC,NFQ-MGB,29.22747421,29.20903778,0.026071703,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
A5,258,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
A6,286,C,UNKNOWN,VIC,NFQ-MGB,25.64807701,25.63119507,0.023873324,,,,FALSE,0.01,FALSE,6,20,,N,N,N
A6,286,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N,N
A7,286,C,UNKNOWN,VIC,NFQ-MGB,25.61431503,25.63119507,0.023873324,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
A7,286,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
A8,248,C,UNKNOWN,VIC,NFQ-MGB,27.74208069,27.64891815,0.131750375,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
A8,248,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
A9,248,C,UNKNOWN,VIC,NFQ-MGB,27.55575752,27.64891815,0.131750375,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
A9,248,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
A10,269,C,UNKNOWN,VIC,NFQ-MGB,27.31007576,27.31445694,0.006197273,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
A10,269,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
A11,269,C,UNKNOWN,VIC,NFQ-MGB,27.31884003,27.31445694,0.006197273,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
A11,269,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
A12,,,,,,,,,,,,,,,,,,N,N,N
B1,282,C,UNKNOWN,VIC,NFQ-MGB,29.38918686,28.93188858,0.6467188,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
B1,282,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
B2,282,C,UNKNOWN,VIC,NFQ-MGB,28.47458839,28.93188858,0.6467188,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
B2,282,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
B3,225,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
B3,225,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
B4,225,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
B4,225,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
B5,200,C,UNKNOWN,VIC,NFQ-MGB,25.15880203,25.17542267,0.023506477,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
B5,200,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
B6,200,C,UNKNOWN,VIC,NFQ-MGB,25.19204521,25.17542267,0.023506477,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
B6,200,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
B7,259,C,UNKNOWN,VIC,NFQ-MGB,27.65517044,27.86555862,0.297535181,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
B7,259,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
B8,259,C,UNKNOWN,VIC,NFQ-MGB,28.07594872,27.86555862,0.297535181,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
B8,259,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
B9,268,C,UNKNOWN,VIC,NFQ-MGB,25.03264046,25.13299561,0.141923606,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
B9,268,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
B10,268,C,UNKNOWN,VIC,NFQ-MGB,25.23335075,25.13299561,0.141923606,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
B10,268,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
B11,241,C,UNKNOWN,VIC,NFQ-MGB,31.44457626,31.52490807,0.113606326,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
B11,241,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
B12,241,C,UNKNOWN,VIC,NFQ-MGB,31.60523987,31.52490807,0.113606326,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
B12,241,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
C1,253,C,UNKNOWN,VIC,NFQ-MGB,27.4574852,27.18761444,0.381656229,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
C1,253,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
C2,253,C,UNKNOWN,VIC,NFQ-MGB,26.91774178,27.18761444,0.381656229,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
C2,253,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
C3,242,C,UNKNOWN,VIC,NFQ-MGB,30.69866562,30.74122238,0.060183004,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
C3,242,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
C4,242,C,UNKNOWN,VIC,NFQ-MGB,30.78377724,30.74122238,0.060183004,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
C4,242,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
C5,239,C,UNKNOWN,VIC,NFQ-MGB,26.7034874,26.7687149,0.092244275,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
C5,239,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
C6,239,C,UNKNOWN,VIC,NFQ-MGB,26.83394051,26.7687149,0.092244275,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
C6,239,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
C7,261,C,UNKNOWN,VIC,NFQ-MGB,31.54080582,31.02727509,0.726243496,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
C7,261,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
C8,261,C,UNKNOWN,VIC,NFQ-MGB,30.51374245,31.02727509,0.726243496,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
C8,261,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
C9,245,C,UNKNOWN,VIC,NFQ-MGB,28.41845703,28.41006851,0.011864507,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
C9,245,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
C10,245,C,UNKNOWN,VIC,NFQ-MGB,28.40167809,28.41006851,0.011864507,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
C10,245,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
C11,202,C,UNKNOWN,VIC,NFQ-MGB,26.18042374,26.36830521,0.265703171,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
C11,202,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
C12,202,C,UNKNOWN,VIC,NFQ-MGB,26.55618477,26.36830521,0.265703171,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
C12,202,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
D1,240,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
D1,240,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
D2,240,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
D2,240,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
D3,206,C,UNKNOWN,VIC,NFQ-MGB,36.61873627,37.08784485,0.663422406,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
D3,206,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
D4,206,C,UNKNOWN,VIC,NFQ-MGB,37.55695724,37.08784485,0.663422406,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
D4,206,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
D5,234,C,UNKNOWN,VIC,NFQ-MGB,31.18183327,30.90698814,0.388689697,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
D5,234,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
D6,234,C,UNKNOWN,VIC,NFQ-MGB,30.63214302,30.90698814,0.388689697,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
D6,234,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
D7,228,C,UNKNOWN,VIC,NFQ-MGB,37.6735611,38.55341721,1.244304419,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
