Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\TaqMan_Std.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N
A2,126,C,UNKNOWN,VIC,NFQ-MGB,36.44303513,36.17614746,0.377438843,,,,FALSE,0.01,FALSE,6,20,,N,Y
A2,126,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
A3,126,C,UNKNOWN,VIC,NFQ-MGB,35.90925598,36.17614746,0.377438843,,,,FALSE,0.01,FALSE,6,20,,N,Y
A3,126,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
A4,113,C,UNKNOWN,VIC,NFQ-MGB,26.51484299,26.49208832,0.032181311,,,,FALSE,0.01,FALSE,6,20,,N,N
A4,113,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N
A5,113,C,UNKNOWN,VIC,NFQ-MGB,26.46933174,26.49208832,0.032181311,,,,FALSE,0.01,FALSE,6,20,,N,N
A5,113,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N
A6,138,C,UNKNOWN,VIC,NFQ-MGB,23.26859283,23.28237915,0.019496795,,,,FALSE,0.01,FALSE,6,20,,N,N
A6,138,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N
A7,138,C,UNKNOWN,VIC,NFQ-MGB,23.29616547,23.28237915,0.019496795,,,,FALSE,0.01,FALSE,6,20,,N,Y
A7,138,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
A8,194,C,UNKNOWN,VIC,NFQ-MGB,24.40896034,24.43123627,0.031504262,,,,FALSE,0.01,FALSE,6,20,,N,N
A8,194,D,UNKNOWN,FAM,NFQ-MGB,34.21391678,33.91046143,0.429147989,,,,FALSE,0.01,FALSE,6,20,,N,N
A9,194,C,UNKNOWN,VIC,NFQ-MGB,24.4535141,24.43123627,0.031504262,,,,FALSE,0.01,FALSE,6,20,,N,N
A9,194,D,UNKNOWN,FAM,NFQ-MGB,33.60700989,33.91046143,0.429147989,,,,FALSE,0.01,FALSE,6,20,,N,N
A10,140,C,UNKNOWN,VIC,NFQ-MGB,24.99579048,24.95586205,0.056467336,,,,FALSE,0.01,FALSE,6,20,,N,Y
A10,140,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
A11,140,C,UNKNOWN,VIC,NFQ-MGB,24.91593361,24.95586205,0.056467336,,,,FALSE,0.01,FALSE,6,20,,N,Y
A11,140,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
A12,,,,,,,,,,,,,,,,,,N,N
B1,127,C,UNKNOWN,VIC,NFQ-MGB,37.15893936,36.97462463,0.260663092,,,,FALSE,0.01,FALSE,6,20,,N,Y
B1,127,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
B2,127,C,UNKNOWN,VIC,NFQ-MGB,36.79030609,36.97462463,0.260663092,,,,FALSE,0.01,FALSE,6,20,,N,Y
B2,127,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
B3,117,C,UNKNOWN,VIC,NFQ-MGB,25.91732788,25.80894852,0.153271571,,,,FALSE,0.01,FALSE,6,20,,N,Y
B3,117,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
B4,117,C,UNKNOWN,VIC,NFQ-MGB,25.70056915,25.80894852,0.153271571,,,,FALSE,0.01,FALSE,6,20,,N,Y
B4,117,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
B5,158,C,UNKNOWN,VIC,NFQ-MGB,24.82475662,24.69874573,0.17820631,,,,FALSE,0.01,FALSE,6,20,,N,Y
B5,158,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
B6,158,C,UNKNOWN,VIC,NFQ-MGB,24.57273483,24.69874573,0.17820631,,,,FALSE,0.01,FALSE,6,20,,N,Y
B6,158,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
B7,139,C,UNKNOWN,VIC,NFQ-MGB,24.87882805,25.19265175,0.443813741,,,,FALSE,0.01,FALSE,6,20,,N,Y
