Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\gatescorallab\Desktop\mariah\TaqMan_Std.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N
A2,146,C,UNKNOWN,VIC,NFQ-MGB,24.33597565,24.34185219,0.008310684,,,,FALSE,0.01,FALSE,6,20,,N,Y
A2,146,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
A3,146,C,UNKNOWN,VIC,NFQ-MGB,24.34772873,24.34185219,0.008310684,,,,FALSE,0.01,FALSE,6,20,,N,Y
A3,146,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
A4,192,C,UNKNOWN,VIC,NFQ-MGB,25.03659248,25.07067871,0.048205204,,,,FALSE,0.01,FALSE,6,20,,N,N
A4,192,D,UNKNOWN,FAM,NFQ-MGB,32.2469635,31.98938942,0.364264756,,,,FALSE,0.01,FALSE,6,20,,N,N
A5,192,C,UNKNOWN,VIC,NFQ-MGB,25.10476494,25.07067871,0.048205204,,,,FALSE,0.01,FALSE,6,20,,N,N
A5,192,D,UNKNOWN,FAM,NFQ-MGB,31.73181534,31.98938942,0.364264756,,,,FALSE,0.01,FALSE,6,20,,N,N
A6,2,C,UNKNOWN,VIC,NFQ-MGB,27.67771912,27.67269516,0.007104947,,,,FALSE,0.01,FALSE,6,20,,N,N
A6,2,D,UNKNOWN,FAM,NFQ-MGB,26.15211678,26.18890953,0.052032813,,,,FALSE,0.01,FALSE,6,20,,N,N
A7,2,C,UNKNOWN,VIC,NFQ-MGB,27.6676712,27.67269516,0.007104947,,,,FALSE,0.01,FALSE,6,20,,N,N
A7,2,D,UNKNOWN,FAM,NFQ-MGB,26.22570229,26.18890953,0.052032813,,,,FALSE,0.01,FALSE,6,20,,N,N
A8,35,C,UNKNOWN,VIC,NFQ-MGB,29.22316742,29.44326782,0.311268985,,,,FALSE,0.01,FALSE,6,20,,N,N
A8,35,D,UNKNOWN,FAM,NFQ-MGB,25.30681419,25.33664322,0.042183265,,,,FALSE,0.01,FALSE,6,20,,N,N
A9,35,C,UNKNOWN,VIC,NFQ-MGB,29.66336823,29.44326782,0.311268985,,,,FALSE,0.01,FALSE,6,20,,N,N
A9,35,D,UNKNOWN,FAM,NFQ-MGB,25.36647034,25.33664322,0.042183265,,,,FALSE,0.01,FALSE,6,20,,N,N
A10,27,C,UNKNOWN,VIC,NFQ-MGB,30.63841248,30.62950516,0.012595502,,,,FALSE,0.01,FALSE,6,20,,N,N
A10,27,D,UNKNOWN,FAM,NFQ-MGB,26.59504509,26.55741501,0.05321832,,,,FALSE,0.01,FALSE,6,20,,N,N
A11,27,C,UNKNOWN,VIC,NFQ-MGB,30.62059975,30.62950516,0.012595502,,,,FALSE,0.01,FALSE,6,20,,N,N
A11,27,D,UNKNOWN,FAM,NFQ-MGB,26.51978302,26.55741501,0.05321832,,,,FALSE,0.01,FALSE,6,20,,N,N
A12,,,,,,,,,,,,,,,,,,N,N
B1,42 A,C,UNKNOWN,VIC,NFQ-MGB,24.46744347,24.28895187,0.252425224,,,,FALSE,0.01,FALSE,6,20,,N,N
B1,42 A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N
B2,42 A,C,UNKNOWN,VIC,NFQ-MGB,24.11046028,24.28895187,0.252425224,,,,FALSE,0.01,FALSE,6,20,,N,Y
B2,42 A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
B3,4,C,UNKNOWN,VIC,NFQ-MGB,34.72154236,34.69848633,0.032606151,,,,FALSE,0.01,FALSE,6,20,,N,N
B3,4,D,UNKNOWN,FAM,NFQ-MGB,32.68978119,32.63328552,0.079896934,,,,FALSE,0.01,FALSE,6,20,,N,N
