Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\MOTaqMan_Std.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N
A2,33f,C,UNKNOWN,VIC,NFQ-MGB,38.74291992,39.03230667,0.40925467,,,,FALSE,0.01,FALSE,6,20,,Y,N
A2,33f,D,UNKNOWN,FAM,NFQ-MGB,34.2470932,34.74847794,0.70906508,,,,FALSE,0.01,FALSE,6,20,,Y,N
A3,33f,C,UNKNOWN,VIC,NFQ-MGB,39.32169342,39.03230667,0.40925467,,,,FALSE,0.01,FALSE,6,20,,Y,Y
A3,33f,D,UNKNOWN,FAM,NFQ-MGB,35.24986267,34.74847794,0.70906508,,,,FALSE,0.01,FALSE,6,20,,Y,Y
A4,270f,C,UNKNOWN,VIC,NFQ-MGB,28.07093239,25.91083145,3.05484271,,,,FALSE,0.01,FALSE,6,20,,Y,Y
A4,270f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
A5,270f,C,UNKNOWN,VIC,NFQ-MGB,23.75073242,25.91083145,3.05484271,,,,FALSE,0.01,FALSE,6,20,,Y,N
A5,270f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,N
A6,85f,C,UNKNOWN,VIC,NFQ-MGB,39.25393295,38.05545807,1.694902182,,,,FALSE,0.01,FALSE,6,20,,Y,Y
A6,85f,D,UNKNOWN,FAM,NFQ-MGB,35.68774414,34.39953995,1.821795821,,,,FALSE,0.01,FALSE,6,20,,Y,Y
A7,85f,C,UNKNOWN,VIC,NFQ-MGB,36.85697937,38.05545807,1.694902182,,,,FALSE,0.01,FALSE,6,20,,Y,N
A7,85f,D,UNKNOWN,FAM,NFQ-MGB,33.11133575,34.39953995,1.821795821,,,,FALSE,0.01,FALSE,6,20,,Y,N
A8,14f,C,UNKNOWN,VIC,NFQ-MGB,30.98987198,30.64437294,0.488609433,,,,FALSE,0.01,FALSE,6,20,,N,Y
A8,14f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
A9,14f,C,UNKNOWN,VIC,NFQ-MGB,30.2988739,30.64437294,0.488609433,,,,FALSE,0.01,FALSE,6,20,,N,Y
A9,14f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
A10,153f,C,UNKNOWN,VIC,NFQ-MGB,31.35636902,32.09680176,1.04713273,,,,FALSE,0.01,FALSE,6,20,,Y,Y
A10,153f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
A11,153f,C,UNKNOWN,VIC,NFQ-MGB,32.83723831,32.09680176,1.04713273,,,,FALSE,0.01,FALSE,6,20,,Y,Y
A11,153f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
A12,,,,,,,,,,,,,,,,,,N,N
B1,237f,C,UNKNOWN,VIC,NFQ-MGB,31.92866707,31.19934464,1.031419039,,,,FALSE,0.01,FALSE,6,20,,Y,Y
B1,237f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
B2,237f,C,UNKNOWN,VIC,NFQ-MGB,30.47002029,31.19934464,1.031419039,,,,FALSE,0.01,FALSE,6,20,,Y,Y
B2,237f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
B3,107f,C,UNKNOWN,VIC,NFQ-MGB,32.49678802,32.60887909,0.158518001,,,,FALSE,0.01,FALSE,6,20,,N,Y
B3,107f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
B4,107f,C,UNKNOWN,VIC,NFQ-MGB,32.72096634,32.60887909,0.158518001,,,,FALSE,0.01,FALSE,6,20,,N,Y
B4,107f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
B5,132f,C,UNKNOWN,VIC,NFQ-MGB,32.28658295,31.72905159,0.788468421,,,,FALSE,0.01,FALSE,6,20,,Y,Y
B5,132f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
B6,132f,C,UNKNOWN,VIC,NFQ-MGB,31.17152023,31.72905159,0.788468421,,,,FALSE,0.01,FALSE,6,20,,Y,Y
B6,132f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
B7,147f,C,UNKNOWN,VIC,NFQ-MGB,28.09427452,27.98819351,0.150019854,,,,FALSE,0.01,FALSE,6,20,,N,N
B7,147f,D,UNKNOWN,FAM,NFQ-MGB,34.81370544,34.79696655,0.023669669,,,,FALSE,0.01,FALSE,6,20,,N,N
B8,147f,C,UNKNOWN,VIC,NFQ-MGB,27.88211441,27.98819351,0.150019854,,,,FALSE,0.01,FALSE,6,20,,N,N
B8,147f,D,UNKNOWN,FAM,NFQ-MGB,34.78023148,34.79696655,0.023669669,,,,FALSE,0.01,FALSE,6,20,,N,N
B9,55f,C,UNKNOWN,VIC,NFQ-MGB,38.38583755,36.52094269,2.637359619,,,,FALSE,0.01,FALSE,6,20,,Y,Y
B9,55f,D,UNKNOWN,FAM,NFQ-MGB,33.87209702,32.26748657,2.269260406,,,,FALSE,0.01,FALSE,6,20,,Y,Y
B10,55f,C,UNKNOWN,VIC,NFQ-MGB,34.65604782,36.52094269,2.637359619,,,,FALSE,0.01,FALSE,6,20,,Y,N
B10,55f,D,UNKNOWN,FAM,NFQ-MGB,30.66287804,32.26748657,2.269260406,,,,FALSE,0.01,FALSE,6,20,,Y,N
B11,109f,C,UNKNOWN,VIC,NFQ-MGB,34.72063828,34.93551254,0.303878099,,,,FALSE,0.01,FALSE,6,20,,Y,N
B11,109f,D,UNKNOWN,FAM,NFQ-MGB,35.77898407,36.995224,1.720025659,,,,FALSE,0.01,FALSE,6,20,,Y,N
B12,109f,C,UNKNOWN,VIC,NFQ-MGB,35.15038681,34.93551254,0.303878099,,,,FALSE,0.01,FALSE,6,20,,Y,N
B12,109f,D,UNKNOWN,FAM,NFQ-MGB,38.21146774,36.995224,1.720025659,,,,FALSE,0.01,FALSE,6,20,,Y,N
C1,247f,C,UNKNOWN,VIC,NFQ-MGB,37.57337189,33.23559189,6.134548664,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C1,247f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C2,247f,C,UNKNOWN,VIC,NFQ-MGB,28.89780998,33.23559189,6.134548664,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C2,247f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C3,130f,C,UNKNOWN,VIC,NFQ-MGB,34.51132584,31.90654755,3.683714151,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C3,130f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C4,130f,C,UNKNOWN,VIC,NFQ-MGB,29.30176735,31.90654755,3.683714151,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C4,130f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C5,76f,C,UNKNOWN,VIC,NFQ-MGB,36.60247421,36.60247421,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C5,76f,D,UNKNOWN,FAM,NFQ-MGB,33.39620209,33.39620209,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C6,76f,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,36.60247421,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C6,76f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,33.39620209,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C7,64f,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C7,64f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C8,64f,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C8,64f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C9,256f,C,UNKNOWN,VIC,NFQ-MGB,30.81552505,31.55162239,1.040998816,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C9,256f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C10,256f,C,UNKNOWN,VIC,NFQ-MGB,32.28771973,31.55162239,1.040998816,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C10,256f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C11,275f,C,UNKNOWN,VIC,NFQ-MGB,32.07092285,31.1964798,1.236650586,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C11,275f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C12,275f,C,UNKNOWN,VIC,NFQ-MGB,30.32203484,31.1964798,1.236650586,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C12,275f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
D1,210f,C,UNKNOWN,VIC,NFQ-MGB,32.96598816,31.04185486,2.721136808,,,,FALSE,0.01,FALSE,6,20,,Y,Y
D1,210f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
D2,210f,C,UNKNOWN,VIC,NFQ-MGB,29.11771965,31.04185486,2.721136808,,,,FALSE,0.01,FALSE,6,20,,Y,Y
D2,210f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
D3,139f,C,UNKNOWN,VIC,NFQ-MGB,27.38989258,27.28306961,0.151069134,,,,FALSE,0.01,FALSE,6,20,,N,Y
D3,139f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
D4,139f,C,UNKNOWN,VIC,NFQ-MGB,27.17624855,27.28306961,0.151069134,,,,FALSE,0.01,FALSE,6,20,,N,Y
D4,139f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
