"","frag.id","days","time.point","notes","light.level","genotype","big.tank","tank","Dry.Weigh.g","propD","dom","mix","mortality","dli"
"1","1",60,"T2",NA,"Low Shade","852","13","2",2.58234872969982,NA,"D",NA,10,1.42039192733725
"2","3",60,"T2",NA,"High Shade","852","14","7",2.4246044960796,NA,"D",NA,95,0.330656405309048
"3","4",60,"T2",NA,"Medium Shade","852","17","15",2.11514271579201,NA,"D",NA,55,0.673574648996475
"4","6",60,"T2",NA,"Natural","862","13","1",3.65411154676676,0.970901048531022,"D","DC",75,3.47026578762955
"5","7",60,"T2",NA,"Low Shade","862","17","14",2.7481114151169,NA,"D",NA,100,1.42039192733725
"6","8",60,"T2",NA,"High Shade","862","16","12",8.83292496362029,NA,"D",NA,NA,0.330656405309048
"7","9",60,"T2",NA,"Medium Shade","862","14","8",2.58435169147144,0.95172375684746,"D","DC",40,0.673574648996475
"8","10",60,"T2",NA,"Medium Shade","886","16","11",6.94419954082943,NA,"D",NA,0,0.673574648996475
"9","11",60,"T2",NA,"Natural","886","17","13",4.97460327915982,0.976836396660563,"D","DC",10,3.47026578762955
"10","12",60,"T2",NA,"High Shade","886","13","3",3.66421573945214,NA,"D",NA,100,0.330656405309048
"11","13",60,"T2",NA,"Low Shade","886","14","6",4.15153301599113,0.9768316696183,"D","DC",0,1.42039192733725
"12","14",60,"T2",NA,"Natural","867","14","5",6.08472184640751,0,"C","C",0,3.47026578762955
"13","15",60,"T2",NA,"Low Shade","867","17","14",5.47995747240451,NA,"C",NA,0,1.42039192733725
"14","16",60,"T2",NA,"Medium Shade","867","16","11",4.31330773332959,0,"C","C",0,0.673574648996475
"15","17",60,"T2",NA,"High Shade","867","13","3",8.82880655988606,0,"C","C",0,0.330656405309048
"16","21",60,"T2",NA,"Medium Shade","864","17","15",4.78435482346962,NA,"D",NA,95,0.673574648996475
"17","26",60,"T2",NA,"Natural","854","14","5",2.31740642945893,NA,"D",NA,0,3.47026578762955
"18","27",60,"T2",NA,"Medium Shade","854","13","4",3.65204491637241,0.974908133109577,"D","DC",0,0.673574648996475
"19","28",60,"T2",NA,"Low Shade","854","16","10",1.84624770510618,0.979741015023041,"D","DC",0,1.42039192733725
"20","29",60,"T2",NA,"High Shade","854","17","16",4.25459585025396,NA,"D",NA,25,0.330656405309048
"21","31",60,"T2",NA,"Natural","876","16","9",5.93306579417674,0.992869629384916,"D","DC",0,3.47026578762955
"22","32",60,"T2",NA,"Low Shade","876","14","6",2.41852645058795,NA,"D",NA,NA,1.42039192733725
"23","33",60,"T2",NA,"Medium Shade","876","13","4",3.5954229387381,0.978014928447686,"D","DC",0,0.673574648996475
"24","34",60,"T2",NA,"High Shade","876","17","16",2.41242200936573,NA,"D",NA,0,0.330656405309048
"25","35",60,"T2",NA,"Natural","896","13","1",9.44366199434786,0.970552567912505,"D","DC",0,3.47026578762955
"26","36",60,"T2",NA,"Low Shade","896","16","10",3.96953300533789,0.976604902257865,"D","DC",0,1.42039192733725
"27","37",60,"T2",NA,"Medium Shade","896","17","15",2.62270594550425,0.986404492308285,"D","DC",0,0.673574648996475
"28","38",60,"T2",NA,"High Shade","896","14","7",4.25265814281726,NA,"D",NA,0,0.330656405309048
"29","40",60,"T2",NA,"High Shade","871","16","12",3.40738830349802,NA,"C",NA,0,0.330656405309048
"30","41",60,"T2",NA,"Natural","871","17","13",1.16478496163636,0.281453803770355,"C","CD",0,3.47026578762955
"31","43",60,"T2",NA,"Natural","893","17","13",2.23250499381516,0.181108771741776,"C","CD",0,3.47026578762955
"32","44",60,"T2",NA,"Low Shade","893","14","6",1.5287674452227,0.379172763217612,"C","CD",0,1.42039192733725
"33","45",60,"T2",NA,"Medium Shade","893","13","4",2.17990209671523,NA,"C",NA,0,0.673574648996475
"34","46",60,"T2",NA,"High Shade","893","16","12",1.72290519537751,0.019489315148521,"C","CD",0,0.330656405309048
"35","48",60,"T2",NA,"Low Shade","867B","17","14",4.35173049670228,NA,"D",NA,40,1.42039192733725
"36","50",60,"T2",NA,"High Shade","867B","13","3",3.87246124240094,NA,"D",NA,90,0.330656405309048
"37","52",60,"T2",NA,"High Shade","912","17","16",5.42541150630749,NA,"D",NA,100,0.330656405309048
"38","53",60,"T2",NA,"Natural","912","16","9",3.5913850834772,0.979848207409011,"D","DC",0,3.47026578762955
"39","54",60,"T2",NA,"Medium Shade","916","16","11",2.99081724513861,0.980462412295143,"D","DC",0,0.673574648996475
