growth.rate,dom,light.level,time.point,genotype,frag.id,tank,.fitted,.resid,.hat,.cooksd,.fixed,.mu,.offset,.sqrtXwt,.sqrtrwt,.weights,.wtres,big.tank,dli
0.054846249,D,High Shade,T1,852,3,7,-0.278161084,0.333007332,0.105474602,0.000275835,-0.008465611,-0.278161084,0,1,1,1,0.333007332,14,0.502115527
0.02105209,D,High Shade,T2,852,3,7,1.741369011,-1.720316921,0.101838993,0.007050199,2.011064484,1.741369011,0,1,1,1,-1.720316921,14,0.502115527
-0.028643855,D,High Shade,T1,862,8,12,-0.406140741,0.377496887,0.107669337,0.000363618,-0.008465611,-0.406140741,0,1,1,1,0.377496887,16,0.502115527
0.099057059,D,High Shade,T2,862,8,12,1.613389353,-1.514332294,0.103757219,0.005589695,2.011064484,1.613389353,0,1,1,1,-1.514332294,16,0.502115527
0.028638983,D,High Shade,T1,886,12,3,0.945196964,-0.916557981,0.100234754,0.001962721,-0.008465611,0.945196964,0,1,1,1,-0.916557981,13,0.502115527
0.185973654,C,High Shade,T1,867,17,3,0.783508873,-0.597535218,0.059805565,0.00045584,0.00294743,0.783508873,0,1,1,1,-0.597535218,13,0.502115527
0.010795345,C,High Shade,T2,867,17,3,1.342278863,-1.331483518,0.061805419,0.002349044,0.56171742,1.342278863,0,1,1,1,-1.331483518,13,0.502115527
-0.332724645,D,High Shade,T1,854,29,16,-0.409795401,0.077070756,0.097124008,1.34E-05,-0.008465611,-0.409795401,0,1,1,1,0.077070756,17,0.502115527
0.047473726,D,High Shade,T2,854,29,16,1.609734694,-1.562260968,0.090697639,0.005052022,2.011064484,1.609734694,0,1,1,1,-1.562260968,17,0.502115527
0.190509325,D,High Shade,T1,876,34,16,-0.403579278,0.594088604,0.097115488,0.000793424,-0.008465611,-0.403579278,0,1,1,1,0.594088604,17,0.502115527
-0.15092472,D,High Shade,T2,876,34,16,1.615950816,-1.766875537,0.090688212,0.00646124,2.011064484,1.615950816,0,1,1,1,-1.766875537,17,0.502115527
0.564164492,D,High Shade,T1,896,38,7,-0.146151722,0.710316214,0.105321993,0.00125276,-0.008465611,-0.146151722,0,1,1,1,0.710316214,14,0.502115527
0.060694704,D,High Shade,T2,896,38,7,1.873378373,-1.812683669,0.101685678,0.007813146,2.011064484,1.873378373,0,1,1,1,-1.812683669,14,0.502115527
0.214200139,C,High Shade,T1,871,40,12,-0.178965115,0.393165254,0.059601552,0.000196591,0.00294743,-0.178965115,0,1,1,1,0.393165254,16,0.502115527
0.059852733,C,High Shade,T2,871,40,12,0.379804875,-0.319952142,0.060085089,0.000131383,0.56171742,0.379804875,0,1,1,1,-0.319952142,16,0.502115527
0.11631619,C,High Shade,T1,893,46,12,-0.226897763,0.343213953,0.058938154,0.000147934,0.00294743,-0.226897763,0,1,1,1,0.343213953,16,0.502115527
0.028970854,C,High Shade,T2,893,46,12,0.331872227,-0.302901373,0.059423185,0.000116292,0.56171742,0.331872227,0,1,1,1,-0.302901373,16,0.502115527
-0.236228175,D,High Shade,T1,867B,50,3,0.764493177,-1.000721352,0.100497225,0.002347222,-0.008465611,0.764493177,0,1,1,1,-1.000721352,13,0.502115527
0.324379377,D,High Shade,T2,867B,50,3,2.784023271,-2.459643894,0.096990174,0.013578945,2.011064484,2.784023271,0,1,1,1,-2.459643894,13,0.502115527
-0.237030577,D,High Shade,T1,912,52,16,-0.400782601,0.163752024,0.097248197,6.04E-05,-0.008465611,-0.400782601,0,1,1,1,0.163752024,17,0.502115527
-0.125060419,D,High Shade,T2,912,52,16,1.618747494,-1.743807913,0.09082157,0.006304735,2.011064484,1.618747494,0,1,1,1,-1.743807913,17,0.502115527
0.00070144,D,High Shade,T1,909,59,3,0.953316534,-0.952615094,0.100205894,0.002119438,-0.008465611,0.953316534,0,1,1,1,-0.952615094,13,0.502115527
0.001070999,D,High Shade,T1,911,68,12,-0.192677048,0.193748047,0.107654393,9.58E-05,-0.008465611,-0.192677048,0,1,1,1,0.193748047,16,0.502115527
0.080060506,D,High Shade,T2,911,68,12,1.826853046,-1.74679254,0.103744541,0.007436405,2.011064484,1.826853046,0,1,1,1,-1.74679254,16,0.502115527
0.011835436,D,High Shade,T1,916,76,3,0.763871957,-0.752036521,0.100205894,0.001320881,-0.008465611,0.763871957,0,1,1,1,-0.752036521,13,0.502115527
-0.001044888,D,High Shade,T2,916,76,3,2.783402052,-2.78444694,0.096695473,0.017337817,2.011064484,2.783402052,0,1,1,1,-2.78444694,13,0.502115527
0.052097708,D,High Shade,T1,910,80,16,-0.36523908,0.417336788,0.097104054,0.000391484,-0.008465611,-0.36523908,0,1,1,1,0.417336788,17,0.502115527
-0.021785671,D,High Shade,T2,910,80,16,1.654291015,-1.676076686,0.09067373,0.00581311,2.011064484,1.654291015,0,1,1,1,-1.676076686,17,0.502115527
0.007985635,D,High Shade,T1,922,86,7,-0.263896523,0.271882159,0.105476461,0.000183871,-0.008465611,-0.263896523,0,1,1,1,0.271882159,14,0.502115527
-0.066332026,D,High Shade,T2,922,86,7,1.755633571,-1.821965597,0.10184216,0.007908268,2.011064484,1.755633571,0,1,1,1,-1.821965597,14,0.502115527
-0.058916085,C,High Shade,T1,920,89,7,-0.248325468,0.189409383,0.064439777,4.98E-05,0.00294743,-0.248325468,0,1,1,1,0.189409383,14,0.502115527
0.023062212,C,High Shade,T2,920,89,7,0.310444522,-0.287382311,0.065027115,0.00011593,0.56171742,0.310444522,0,1,1,1,-0.287382311,14,0.502115527
0.303973679,C,High Shade,T1,894B,97,7,-0.229672382,0.53364606,0.065425032,0.000402533,0.00294743,-0.229672382,0,1,1,1,0.53364606,14,0.502115527
0.215562828,C,High Shade,T2,894B,97,7,0.329097608,-0.113534781,0.066011317,1.84E-05,0.56171742,0.329097608,0,1,1,1,-0.113534781,14,0.502115527
-0.013996569,C,High Shade,T1,873,101,3,0.743417211,-0.75741378,0.059824697,0.000732669,0.00294743,0.743417211,0,1,1,1,-0.75741378,13,0.502115527
0.021668799,C,High Shade,T2,873,101,3,1.302187201,-1.280518402,0.061824034,0.002173397,0.56171742,1.302187201,0,1,1,1,-1.280518402,13,0.502115527
-0.659848821,C,High Shade,T1,881,108,16,-0.425212568,-0.234636253,0.062035397,7.33E-05,0.00294743,-0.425212568,0,1,1,1,-0.234636253,17,0.502115527
0.305221586,C,High Shade,T2,881,108,16,0.133557422,0.171664164,0.06265893,3.97E-05,0.56171742,0.133557422,0,1,1,1,0.171664164,17,0.502115527
0.074847257,D,High Shade,T1,868,112,16,-0.408384882,0.483232138,0.09789327,0.000530063,-0.008465611,-0.408384882,0,1,1,1,0.483232138,17,0.502115527
-0.020733947,D,High Shade,T2,868,112,16,1.611145213,-1.63187916,0.091477855,0.005569288,2.011064484,1.611145213,0,1,1,1,-1.63187916,17,0.502115527
0.340991082,C,High Shade,T1,875,116,12,-0.145858202,0.486849284,0.058938154,0.000297665,0.00294743,-0.145858202,0,1,1,1,0.486849284,16,0.502115527
