Site Name ,PAR7277
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,7277


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,01/11/2017 , 17:15:00,331,331
2,01/11/2017 , 17:30:00,217,217
3,01/11/2017 , 17:45:00,96,96
4,01/11/2017 , 18:00:00,23,23
5,01/11/2017 , 18:15:00,2,2
6,01/11/2017 , 18:30:00,0,0
7,01/11/2017 , 18:45:00,0,0
8,01/11/2017 , 19:00:00,0,0
9,01/11/2017 , 19:15:00,0,0
10,01/11/2017 , 19:30:00,0,0
11,01/11/2017 , 19:45:00,0,0
12,01/11/2017 , 20:00:00,0,0
13,01/11/2017 , 20:15:00,0,0
14,01/11/2017 , 20:30:00,0,0
15,01/11/2017 , 20:45:00,0,0
16,01/11/2017 , 21:00:00,0,0
17,01/11/2017 , 21:15:00,0,0
18,01/11/2017 , 21:30:00,0,0
19,01/11/2017 , 21:45:00,0,0
20,01/11/2017 , 22:00:00,0,0
21,01/11/2017 , 22:15:00,0,0
22,01/11/2017 , 22:30:00,0,0
23,01/11/2017 , 22:45:00,0,0
24,01/11/2017 , 23:00:00,0,0
25,01/11/2017 , 23:15:00,0,0
26,01/11/2017 , 23:30:00,0,0
27,01/11/2017 , 23:45:00,0,0
28,01/11/2017 , 24:00:00,0,0
29,02/11/2017 , 00:15:00,0,0
30,02/11/2017 , 00:30:00,0,0
31,02/11/2017 , 00:45:00,0,0
32,02/11/2017 , 01:00:00,0,0
33,02/11/2017 , 01:15:00,0,0
34,02/11/2017 , 01:30:00,0,0
35,02/11/2017 , 01:45:00,0,0
36,02/11/2017 , 02:00:00,0,0
37,02/11/2017 , 02:15:00,0,0
38,02/11/2017 , 02:30:00,0,0
39,02/11/2017 , 02:45:00,0,0
40,02/11/2017 , 03:00:00,0,0
41,02/11/2017 , 03:15:00,0,0
42,02/11/2017 , 03:30:00,0,0
43,02/11/2017 , 03:45:00,0,0
44,02/11/2017 , 04:00:00,0,0
45,02/11/2017 , 04:15:00,0,0
46,02/11/2017 , 04:30:00,0,0
47,02/11/2017 , 04:45:00,0,0
48,02/11/2017 , 05:00:00,0,0
49,02/11/2017 , 05:15:00,0,0
50,02/11/2017 , 05:30:00,0,0
51,02/11/2017 , 05:45:00,0,0
52,02/11/2017 , 06:00:00,0,0
53,02/11/2017 , 06:15:00,0,0
54,02/11/2017 , 06:30:00,4,4
55,02/11/2017 , 06:45:00,41,41
56,02/11/2017 , 07:00:00,120,120
57,02/11/2017 , 07:15:00,225,225
58,02/11/2017 , 07:30:00,320,320
59,02/11/2017 , 07:45:00,507,507
60,02/11/2017 , 08:00:00,704,704
61,02/11/2017 , 08:15:00,955,955
62,02/11/2017 , 08:30:00,1039,1039
63,02/11/2017 , 08:45:00,2143,2143
64,02/11/2017 , 09:00:00,4284,4284
65,02/11/2017 , 09:15:00,1763,1763
66,02/11/2017 , 09:30:00,1634,1634
67,02/11/2017 , 09:45:00,2414,2414
68,02/11/2017 , 10:00:00,3704,3704
69,02/11/2017 , 10:15:00,4873,4873
70,02/11/2017 , 10:30:00,5124,5124
71,02/11/2017 , 10:45:00,3879,3879
72,02/11/2017 , 11:00:00,3971,3971
73,02/11/2017 , 11:15:00,4395,4395
74,02/11/2017 , 11:30:00,4679,4679
75,02/11/2017 , 11:45:00,4810,4810
76,02/11/2017 , 12:00:00,5118,5118
77,02/11/2017 , 12:15:00,5276,5276
78,02/11/2017 , 12:30:00,5433,5433
79,02/11/2017 , 12:45:00,5529,5529
80,02/11/2017 , 13:00:00,5081,5081
81,02/11/2017 , 13:15:00,4644,4644
82,02/11/2017 , 13:30:00,5190,5190
83,02/11/2017 , 13:45:00,5538,5538
84,02/11/2017 , 14:00:00,5393,5393
85,02/11/2017 , 14:15:00,5185,5185
86,02/11/2017 , 14:30:00,4701,4701
87,02/11/2017 , 14:45:00,4435,4435
88,02/11/2017 , 15:00:00,3397,3397
89,02/11/2017 , 15:15:00,2909,2909
90,02/11/2017 , 15:30:00,2335,2335
91,02/11/2017 , 15:45:00,2885,2885
92,02/11/2017 , 16:00:00,2617,2617
93,02/11/2017 , 16:15:00,1998,1998
94,02/11/2017 , 16:30:00,1870,1870
95,02/11/2017 , 16:45:00,633,633
96,02/11/2017 , 17:00:00,493,493
97,02/11/2017 , 17:15:00,360,360
98,02/11/2017 , 17:30:00,195,195
99,02/11/2017 , 17:45:00,87,87
100,02/11/2017 , 18:00:00,24,24
101,02/11/2017 , 18:15:00,2,2
102,02/11/2017 , 18:30:00,0,0
103,02/11/2017 , 18:45:00,0,0
104,02/11/2017 , 19:00:00,0,0
105,02/11/2017 , 19:15:00,0,0
106,02/11/2017 , 19:30:00,0,0
107,02/11/2017 , 19:45:00,0,0
108,02/11/2017 , 20:00:00,0,0
109,02/11/2017 , 20:15:00,0,0
