Site Name ,INDOOR
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,2488


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,20/11/2017 , 15:15:00,177,177
2,20/11/2017 , 15:30:00,108,108
3,20/11/2017 , 15:45:00,207,207
4,20/11/2017 , 16:00:00,199,199
5,20/11/2017 , 16:15:00,119,119
6,20/11/2017 , 16:30:00,114,114
7,20/11/2017 , 16:45:00,179,179
8,20/11/2017 , 17:00:00,81,81
9,20/11/2017 , 17:15:00,31,31
10,20/11/2017 , 17:30:00,20,20
11,20/11/2017 , 17:45:00,11,11
12,20/11/2017 , 18:00:00,2,2
13,20/11/2017 , 18:15:00,0,0
14,20/11/2017 , 18:30:00,0,0
15,20/11/2017 , 18:45:00,0,0
16,20/11/2017 , 19:00:00,0,0
17,20/11/2017 , 19:15:00,0,0
18,20/11/2017 , 19:30:00,0,0
19,20/11/2017 , 19:45:00,0,0
20,20/11/2017 , 20:00:00,0,0
21,20/11/2017 , 20:15:00,0,0
22,20/11/2017 , 20:30:00,0,0
23,20/11/2017 , 20:45:00,0,0
24,20/11/2017 , 21:00:00,0,0
25,20/11/2017 , 21:15:00,0,0
26,20/11/2017 , 21:30:00,0,0
27,20/11/2017 , 21:45:00,0,0
28,20/11/2017 , 22:00:00,0,0
29,20/11/2017 , 22:15:00,0,0
30,20/11/2017 , 22:30:00,0,0
31,20/11/2017 , 22:45:00,0,0
32,20/11/2017 , 23:00:00,0,0
33,20/11/2017 , 23:15:00,0,0
34,20/11/2017 , 23:30:00,0,0
35,20/11/2017 , 23:45:00,0,0
36,20/11/2017 , 24:00:00,0,0
37,21/11/2017 , 00:15:00,0,0
38,21/11/2017 , 00:30:00,0,0
39,21/11/2017 , 00:45:00,0,0
40,21/11/2017 , 01:00:00,0,0
41,21/11/2017 , 01:15:00,0,0
42,21/11/2017 , 01:30:00,0,0
43,21/11/2017 , 01:45:00,0,0
44,21/11/2017 , 02:00:00,0,0
45,21/11/2017 , 02:15:00,0,0
46,21/11/2017 , 02:30:00,0,0
47,21/11/2017 , 02:45:00,0,0
48,21/11/2017 , 03:00:00,0,0
49,21/11/2017 , 03:15:00,0,0
50,21/11/2017 , 03:30:00,0,0
51,21/11/2017 , 03:45:00,0,0
52,21/11/2017 , 04:00:00,0,0
53,21/11/2017 , 04:15:00,0,0
54,21/11/2017 , 04:30:00,0,0
55,21/11/2017 , 04:45:00,0,0
56,21/11/2017 , 05:00:00,0,0
57,21/11/2017 , 05:15:00,0,0
58,21/11/2017 , 05:30:00,0,0
59,21/11/2017 , 05:45:00,0,0
60,21/11/2017 , 06:00:00,0,0
61,21/11/2017 , 06:15:00,0,0
62,21/11/2017 , 06:30:00,0,0
63,21/11/2017 , 06:45:00,1,1
64,21/11/2017 , 07:00:00,13,13
65,21/11/2017 , 07:15:00,28,28
66,21/11/2017 , 07:30:00,44,44
67,21/11/2017 , 07:45:00,58,58
68,21/11/2017 , 08:00:00,136,136
69,21/11/2017 , 08:15:00,161,161
70,21/11/2017 , 08:30:00,190,190
71,21/11/2017 , 08:45:00,202,202
72,21/11/2017 , 09:00:00,271,271
73,21/11/2017 , 09:15:00,293,293
74,21/11/2017 , 09:30:00,437,437
75,21/11/2017 , 09:45:00,460,460
76,21/11/2017 , 10:00:00,436,436
77,21/11/2017 , 10:15:00,574,574
78,21/11/2017 , 10:30:00,867,867
79,21/11/2017 , 10:45:00,766,766
80,21/11/2017 , 11:00:00,458,458
81,21/11/2017 , 11:15:00,444,444
82,21/11/2017 , 11:30:00,518,518
83,21/11/2017 , 11:45:00,719,719
84,21/11/2017 , 12:00:00,821,821
85,21/11/2017 , 12:15:00,722,722
86,21/11/2017 , 12:30:00,986,986
87,21/11/2017 , 12:45:00,1028,1028
88,21/11/2017 , 13:00:00,1048,1048
89,21/11/2017 , 13:15:00,1038,1038
90,21/11/2017 , 13:30:00,977,977
91,21/11/2017 , 13:45:00,912,912
92,21/11/2017 , 14:00:00,784,784
93,21/11/2017 , 14:15:00,684,684
94,21/11/2017 , 14:30:00,626,626
95,21/11/2017 , 14:45:00,682,682
96,21/11/2017 , 15:00:00,337,337
97,21/11/2017 , 15:15:00,168,168
98,21/11/2017 , 15:30:00,99,99
99,21/11/2017 , 15:45:00,219,219
100,21/11/2017 , 16:00:00,204,204
101,21/11/2017 , 16:15:00,205,205
102,21/11/2017 , 16:30:00,66,66
103,21/11/2017 , 16:45:00,69,69
104,21/11/2017 , 17:00:00,57,57
105,21/11/2017 , 17:15:00,41,41
106,21/11/2017 , 17:30:00,20,20
107,21/11/2017 , 17:45:00,11,11
108,21/11/2017 , 18:00:00,2,2
109,21/11/2017 , 18:15:00,0,0
110,21/11/2017 , 18:30:00,0,0
111,21/11/2017 , 18:45:00,0,0
112,21/11/2017 , 19:00:00,0,0
