datetime,logger_10956,logger_10957,logger_10958,logger_10959,logger_2488,logger_4803,logger_6377,logger_6378,logger_6379,logger_7272,logger_7274,logger_7276,logger_7277,logger_7278,logger_7279,logger_7280
2017-10-23T00:15:00Z,0,20,26,0,18,15,42,17,23,0,30,0,57,0,0,0
2017-10-23T00:30:00Z,0,44,47,63,13,57,41,43,28,0,67,38,62,0,0,0
2017-10-23T00:45:00Z,161,98,48,143,110,148,44,59,95,101,135,133,68,57,116,149
2017-10-23T01:00:00Z,10993,11023,7697,11093,7405,10272,6128,6061,7786,9763,9803,5414,3751,9448,7620,10820
2017-10-23T01:15:00Z,10183,10625,7402,9236,6281,8063,5863,4881,6153,9146,8867,4837,3830,8836,5986,10706
2017-10-23T01:30:00Z,7062,6124,5671,6281,2749,6758,2931,3144,2225,5761,6381,6016,2537,7678,5170,6406
2017-10-23T01:45:00Z,6751,5874,6062,6235,2434,6117,2684,3024,2100,5608,6294,5327,2570,7891,4638,6406
2017-10-23T02:00:00Z,4392,3623,2742,3764,1385,3943,1363,1947,1062,4156,3055,3739,2789,4427,2632,4637
2017-10-23T02:15:00Z,264,713,123,913,258,82,187,41,315,319,162,163,2413,785,322,708
2017-10-23T02:30:00Z,121,287,50,448,113,37,65,17,153,189,72,85,902,363,172,422
2017-10-23T02:45:00Z,107,347,55,525,122,45,65,23,180,255,77,99,770,463,222,561
2017-10-23T03:00:00Z,145,396,69,578,144,58,72,30,220,266,94,111,736,684,247,683
2017-10-23T03:15:00Z,115,316,53,445,122,49,56,23,184,205,86,92,554,550,198,539
2017-10-23T03:30:00Z,58,103,26,209,51,24,26,12,88,109,31,47,273,305,98,306
2017-10-23T03:45:00Z,23,45,11,102,21,10,10,4,40,50,14,20,128,128,45,141
2017-10-23T04:00:00Z,9,19,2,45,9,4,3,1,17,22,5,8,59,54,20,61
2017-10-23T04:15:00Z,0,2,0,6,2,0,0,0,3,4,0,1,12,12,4,13
2017-10-23T04:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-23T04:45:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-23T05:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-23T05:15:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-23T05:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-23T05:45:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-23T06:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-23T06:15:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-23T06:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-23T06:45:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-23T07:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-23T07:15:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-23T07:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-23T07:45:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-23T08:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
