frag.id,days,time.point,notes,light.level,genotype,big.tank,tank,Dry.Weigh.g,propD,dom,,mortality,dli
17,60,T2,NA,Almost Darkness,867,13,3,8.82880656,0,C,,0,0.359
40,60,T2,NA,Almost Darkness,871,16,12,3.407388303,NA,C,,0,0.359
46,60,T2,NA,Almost Darkness,893,16,12,1.722905195,0.019489315,C,,0,0.359
89,60,T2,NA,Almost Darkness,920,14,7,2.22036791,0,C,,0,0.359
101,60,T2,NA,Almost Darkness,873,13,3,4.584265687,NA,C,,0,0.359
116,60,T2,NA,Almost Darkness,875,16,12,4.086844366,0,C,,0,0.359
129,60,T2,NA,Almost Darkness,863,14,7,1.941298776,0,C,,0,0.359
133,60,T2,NA,Almost Darkness,859,16,12,6.877466783,0,C,,0,0.359
141,60,T2,NA,Almost Darkness,877,13,3,1.902864767,0,C,,0,0.359
158,60,T2,NA,Almost Darkness,890,16,12,2.343717109,0,C,,0,0.359
218,60,T2,NA,Almost Darkness,888,13,3,3.870436365,0,C,,0,0.359
225,60,T2,NA,Almost Darkness,903,16,12,2.483248333,NA,C,,0,0.359
229,60,T2,NA,Almost Darkness,902,14,7,3.540861216,0,C,,0,0.359
232,60,T2,NA,Almost Darkness,891,14,7,5.120179222,0,C,,0,0.359
245,60,T2,NA,Almost Darkness,885,13,3,5.336511517,0,C,,0,0.359
259,60,T2,NA,Almost Darkness,901,17,16,5.908700856,0,C,,0,0.359
263,60,T2,NA,Almost Darkness,887,16,12,2.562113959,0,C,,0,0.359
268,60,T2,NA,Almost Darkness,883,13,3,4.117147347,NA,C,,0,0.359
283,60,T2,NA,Almost Darkness,858,16,12,1.854347448,0,C,,0,0.359
187,60,T2,NA,Almost Darkness,881,16,12,7.223261898,0.011688124,C,,10,0.359
205,60,T2,NA,Almost Darkness,895,17,16,5.702447528,NA,C,,15,0.359
234,60,T2,NA,Almost Darkness,855,17,16,12.9622365,0,C,,15,0.359
151,60,T2,NA,Almost Darkness,899,17,16,2.01203898,NA,C,,20,0.359
273,60,T2,NA,Almost Darkness,869,17,16,6.199902549,NA,C,,20,0.359
108,60,T2,NA,Almost Darkness,881,17,16,1.368991605,NA,C,,45,0.359
157,60,T2,NA,Almost Darkness,860,13,3,3.496336227,0,C,,50,0.359
213,60,T2,NA,Almost Darkness,879,16,12,2.37602049,NA,C,,55,0.359
265,60,T2,NA,Almost Darkness,894,17,16,1.573227446,NA,C,,90,0.359
149,60,T2,NA,Almost Darkness,861,13,3,3.563106034,NA,C,,100,0.359
201,60,T2,NA,Almost Darkness,905,14,7,3.322461892,NA,C,,100,0.359
254,60,T2,NA,Almost Darkness,865,14,7,4.206157176,NA,C,,100,0.359
97,60,T2,NA,Almost Darkness,894B,14,7,4.600478316,NA,C,,NA,0.359
34,60,T2,NA,Almost Darkness,876,17,16,2.412422009,NA,D,,0,0.359
38,60,T2,NA,Almost Darkness,896,14,7,4.252658143,NA,D,,0,0.359
112,60,T2,NA,Almost Darkness,868,17,16,2.665191222,NA,D,,0,0.359
80,60,T2,NA,Almost Darkness,910,17,16,2.535775454,NA,D,,15,0.359
29,60,T2,NA,Almost Darkness,854,17,16,4.25459585,NA,D,,25,0.359
68,60,T2,NA,Almost Darkness,911,16,12,3.201125806,0.961240687,D,,25,0.359
76,60,T2,NA,Almost Darkness,916,13,3,5.621638696,NA,D,,25,0.359
50,60,T2,NA,Almost Darkness,867B,13,3,3.872461242,NA,D,,90,0.359
3,60,T2,NA,Almost Darkness,852,14,7,2.424604496,NA,D,,95,0.359
12,60,T2,NA,Almost Darkness,886,13,3,3.664215739,NA,D,,100,0.359
52,60,T2,NA,Almost Darkness,912,17,16,5.425411506,NA,D,,100,0.359
59,60,T2,NA,Almost Darkness,909,13,3,5.376955861,NA,D,,100,0.359
86,60,T2,NA,Almost Darkness,922,14,7,7.840029592,NA,D,,100,0.359
137,60,T2,NA,Almost Darkness,878,17,16,2.293109778,NA,D,,100,0.359
8,60,T2,NA,Almost Darkness,862,16,12,8.832924964,NA,D,,NA,0.359
14,60,T2,NA,High Light,867,14,5,6.084721846,0,C,,0,3.81
41,60,T2,NA,High Light,871,17,13,1.164784962,0.281453804,C,,0,3.81
43,60,T2,NA,High Light,893,17,13,2.232504994,0.181108772,C,,0,3.81
