frag.id,time.point,percent.mort
1,T1,10
1,T2,10
2,T1,95
2,T2,100
3,T2,95
4,T1,0
4,T2,55
6,T1,75
6,T2,75
7,T1,30
7,T2,100
8,T1,65
8,T2,85
9,T2,40
10,T1,0
10,T2,0
11,T1,0
11,T2,10
12,T1,100
13,T1,0
13,T2,0
14,T1,0
14,T2,0
15,T1,0
15,T2,0
16,T1,0
16,T2,0
17,T1,0
17,T2,0
20,T1,0
20,T2,0
21,T1,85
21,T2,95
24,T1,0
24,T2,0
25,T2,0
26,T2,0
27,T1,0
27,T2,0
28,T1,0
28,T2,0
29,T1,0
29,T2,25
31,T1,0
31,T2,0
32,T1,30
32,T2,30
33,T1,0
33,T2,0
34,T1,0
34,T2,0
35,T1,0
35,T2,0
36,T1,0
36,T2,0
37,T1,0
37,T2,0
38,T2,0
40,T1,0
40,T2,0
41,T1,0
41,T2,0
43,T1,0
43,T2,0
44,T1,0
44,T2,0
45,T1,0
45,T2,0
46,T1,0
46,T2,0
47,T1,0
47,T2,0
48,T1,15
48,T2,40
49,T1,10
49,T2,20
50,T1,90
50,T2,90
51,T1,0
51,T2,0
52,T2,100
53,T1,0
53,T2,0
54,T1,0
54,T2,0
55,T1,0
55,T2,0
56,T1,0
56,T2,0
57,T1,20
57,T2,20
58,T1,0
58,T2,0
59,T1,10
59,T2,100
64,T1,0
64,T2,10
68,T1,0
68,T2,25
69,T1,0
69,T2,0
70,T1,0
70,T2,0
73,T1,20
73,T2,25
74,T1,0
74,T2,0
75,T1,0
75,T2,0
76,T2,25
78,T1,0
78,T2,0
79,T1,0
79,T2,0
80,T1,0
80,T2,15
81,T1,0
81,T2,15
82,T1,80
82,T2,80
83,T1,0
83,T2,0
84,T1,0
84,T2,0
85,T1,5
85,T2,25
86,T2,100
87,T1,0
87,T2,0
88,T1,0
88,T2,0
89,T2,0
97,T1,70
97,T2,100
101,T1,0
101,T2,0
102,T1,0
102,T2,0
103,T1,0
103,T2,0
104,T2,0
105,T1,0
105,T2,0
106,T1,0
106,T2,0
107,T1,0
107,T2,0
108,T1,5
108,T2,45
109,T1,10
109,T2,10
110,T1,0
110,T2,0
111,T1,0
111,T2,0
112,T1,0
112,T2,0
113,T1,0
113,T2,0
114,T1,0
114,T2,0
115,T1,0
115,T2,0
116,T1,0
116,T2,0
117,T1,0
117,T2,0
118,T1,0
118,T2,0
120,T1,0
120,T2,0
123,T1,10
123,T2,10
124,T1,15
124,T2,15
126,T1,0
126,T2,20
127,T1,0
127,T2,0
128,T1,0
128,T2,0
129,T2,0
130,T1,0
130,T2,0
131,T1,0
131,T2,0
132,T1,5
132,T2,20
133,T1,0
133,T2,0
134,T1,0
134,T2,0
135,T1,45
135,T2,80
136,T1,45
136,T2,55
137,T1,40
137,T2,100
138,T1,0
138,T2,0
139,T1,0
139,T2,0
140,T1,0
140,T2,0
141,T1,0
141,T2,0
142,T1,0
142,T2,0
144,T1,65
144,T2,80
146,T1,0
146,T2,0
147,T1,0
147,T2,0
148,T1,0
148,T2,0
149,T1,20
149,T2,100
150,T2,0
151,T1,0
151,T2,20
153,T1,0
153,T2,0
154,T2,25
155,T1,0
155,T2,0
156,T1,10
156,T2,25
157,T1,15
157,T2,50
158,T1,0
158,T2,0
159,T1,0
159,T2,0
160,T1,0
160,T2,0
161,T1,0
161,T2,0
186,T1,0
186,T2,0
187,T1,10
187,T2,10
191,T1,0
191,T2,0
192,T1,0
192,T2,0
195,T1,0
195,T2,0
196,T1,40
196,T2,75
198,T1,0
198,T2,0
199,T1,0
199,T2,0
200,T1,0
200,T2,0
201,T2,100
202,T1,0
202,T2,0
203,T1,0
203,T2,0
204,T1,0
204,T2,0
205,T1,0
205,T2,15
206,T1,15
206,T2,20
208,T1,20
208,T2,80
210,T1,0
210,T2,0
212,T1,0
212,T2,0
213,T1,50
213,T2,55
218,T1,0
218,T2,0
219,T1,0
219,T2,0
220,T1,0
220,T2,0
221,T2,0
222,T1,0
222,T2,0
223,T1,0
223,T2,0
224,T1,0
224,T2,0
225,T1,0
225,T2,0
229,T2,0
230,T1,0
230,T2,0
232,T2,0
233,T1,0
233,T2,0
234,T1,5
234,T2,15
235,T1,55
235,T2,75
236,T1,0
236,T2,10
237,T2,0
238,T1,0
238,T2,0
240,T1,0
240,T2,0
241,T1,0
241,T2,0
242,T1,5
242,T2,0
243,T1,0
243,T2,0
244,T1,0
244,T2,0
245,T2,0
247,T1,0
247,T2,0
248,T1,0
248,T2,0
249,T1,0
249,T2,10
251,T1,0
253,T1,0
253,T2,0
254,T2,100
256,T1,0
256,T2,0
257,T1,0
257,T2,0
258,T2,0
259,T1,0
259,T2,0
260,T1,0
260,T2,0
261,T1,0
261,T2,0
262,T1,0
262,T2,0
263,T1,0
263,T2,0
265,T1,0
265,T2,90
268,T1,0
268,T2,0
269,T1,0
269,T2,0
270,T1,0
270,T2,0
271,T2,0
272,T2,30
273,T1,0
273,T2,20
274,T1,0
274,T2,0
275,T1,5
275,T2,0
276,T1,100
276,T2,100
277,T1,5
277,T2,0
278,T1,0
278,T2,0
279,T1,0
279,T2,0
280,T1,0
280,T2,0
283,T1,0
283,T2,0
288,T1,0
288,T2,0
