Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\gatescorallab\Desktop\mariah\MO_UROPapril3.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N
A2,222,C,UNKNOWN,VIC,NFQ-MGB,27.7518158,27.63996696,0.158178136,,,,FALSE,0.01,FALSE,6,20,,N,N
A2,222,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N
A3,222,C,UNKNOWN,VIC,NFQ-MGB,27.52811813,27.63996696,0.158178136,,,,FALSE,0.01,FALSE,6,20,,N,Y
A3,222,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
A4,14,C,UNKNOWN,VIC,NFQ-MGB,27.61711884,27.45923233,0.223285243,,,,FALSE,0.01,FALSE,6,20,,N,N
A4,14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N
A5,14,C,UNKNOWN,VIC,NFQ-MGB,27.30134583,27.45923233,0.223285243,,,,FALSE,0.01,FALSE,6,20,,N,N
A5,14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N
A6,9,C,UNKNOWN,VIC,NFQ-MGB,29.94184494,29.90241241,0.055764664,,,,FALSE,0.01,FALSE,6,20,,N,N
A6,9,D,UNKNOWN,FAM,NFQ-MGB,25.49454308,25.51749039,0.032452401,,,,FALSE,0.01,FALSE,6,20,,N,N
A7,9,C,UNKNOWN,VIC,NFQ-MGB,29.8629818,29.90241241,0.055764664,,,,FALSE,0.01,FALSE,6,20,,N,N
A7,9,D,UNKNOWN,FAM,NFQ-MGB,25.5404377,25.51749039,0.032452401,,,,FALSE,0.01,FALSE,6,20,,N,N
A8,13,C,UNKNOWN,VIC,NFQ-MGB,28.82953453,28.95466805,0.17696552,,,,FALSE,0.01,FALSE,6,20,,N,N
A8,13,D,UNKNOWN,FAM,NFQ-MGB,24.91938782,24.92648506,0.010037019,,,,FALSE,0.01,FALSE,6,20,,N,N
A9,13,C,UNKNOWN,VIC,NFQ-MGB,29.07980156,28.95466805,0.17696552,,,,FALSE,0.01,FALSE,6,20,,N,N
A9,13,D,UNKNOWN,FAM,NFQ-MGB,24.93358231,24.92648506,0.010037019,,,,FALSE,0.01,FALSE,6,20,,N,N
A10,31,C,UNKNOWN,VIC,NFQ-MGB,30.75723267,30.77198219,0.020858981,,,,FALSE,0.01,FALSE,6,20,,N,N
A10,31,D,UNKNOWN,FAM,NFQ-MGB,26.84830856,26.63215446,0.305688053,,,,FALSE,0.01,FALSE,6,20,,N,N
A11,31,C,UNKNOWN,VIC,NFQ-MGB,30.78673172,30.77198219,0.020858981,,,,FALSE,0.01,FALSE,6,20,,N,N
A11,31,D,UNKNOWN,FAM,NFQ-MGB,26.41600037,26.63215446,0.305688053,,,,FALSE,0.01,FALSE,6,20,,N,N
A12,,,,,,,,,,,,,,,,,,N,N
B1,235,C,UNKNOWN,VIC,NFQ-MGB,24.48947716,24.3577652,0.186270192,,,,FALSE,0.01,FALSE,6,20,,N,N
B1,235,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N
B2,235,C,UNKNOWN,VIC,NFQ-MGB,24.22605133,24.3577652,0.186270192,,,,FALSE,0.01,FALSE,6,20,,N,Y
B2,235,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
B3,191,C,UNKNOWN,VIC,NFQ-MGB,25.8168087,25.8752327,0.082624011,,,,FALSE,0.01,FALSE,6,20,,N,N
B3,191,D,UNKNOWN,FAM,NFQ-MGB,34.35535049,34.58284378,0.321724087,,,,FALSE,0.01,FALSE,6,20,,N,N
B4,191,C,UNKNOWN,VIC,NFQ-MGB,25.93365669,25.8752327,0.082624011,,,,FALSE,0.01,FALSE,6,20,,N,N
B4,191,D,UNKNOWN,FAM,NFQ-MGB,34.81033707,34.58284378,0.321724087,,,,FALSE,0.01,FALSE,6,20,,N,N
B5,33,C,UNKNOWN,VIC,NFQ-MGB,29.57570457,29.99018669,0.586166203,,,,FALSE,0.01,FALSE,6,20,,Y,N
B5,33,D,UNKNOWN,FAM,NFQ-MGB,24.70221901,25.55630493,1.207859874,,,,FALSE,0.01,FALSE,6,20,,Y,N
B6,33,C,UNKNOWN,VIC,NFQ-MGB,30.40466881,29.99018669,0.586166203,,,,FALSE,0.01,FALSE,6,20,,Y,N
B6,33,D,UNKNOWN,FAM,NFQ-MGB,26.41039085,25.55630493,1.207859874,,,,FALSE,0.01,FALSE,6,20,,Y,N
B7,20,C,UNKNOWN,VIC,NFQ-MGB,29.89344025,29.95166397,0.082342133,,,,FALSE,0.01,FALSE,6,20,,Y,N
B7,20,D,UNKNOWN,FAM,NFQ-MGB,29.54097176,29.10588264,0.61530894,,,,FALSE,0.01,FALSE,6,20,,Y,N
B8,20,C,UNKNOWN,VIC,NFQ-MGB,30.0098896,29.95166397,0.082342133,,,,FALSE,0.01,FALSE,6,20,,Y,N
B8,20,D,UNKNOWN,FAM,NFQ-MGB,28.67079353,29.10588264,0.61530894,,,,FALSE,0.01,FALSE,6,20,,Y,N
B9,17,C,UNKNOWN,VIC,NFQ-MGB,24.59974289,24.66343689,0.090078264,,,,FALSE,0.01,FALSE,6,20,,N,Y
B9,17,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
B10,17,C,UNKNOWN,VIC,NFQ-MGB,24.7271328,24.66343689,0.090078264,,,,FALSE,0.01,FALSE,6,20,,N,Y
B10,17,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
B11,16,C,UNKNOWN,VIC,NFQ-MGB,27.90211296,28.27245712,0.523744404,,,,FALSE,0.01,FALSE,6,20,,Y,Y
