Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\gatescorallab\Desktop\mariah\TaqMan_Std.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N
A2,69,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
A2,69,D,UNKNOWN,FAM,NFQ-MGB,37.45444107,37.99513626,0.764658451,,,,FALSE,0.01,FALSE,6,20,,Y,Y
A3,69,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
A3,69,D,UNKNOWN,FAM,NFQ-MGB,38.53583145,37.99513626,0.764658451,,,,FALSE,0.01,FALSE,6,20,,Y,Y
A4,67 A,C,UNKNOWN,VIC,NFQ-MGB,28.71895218,28.8197937,0.142611444,,,,FALSE,0.01,FALSE,6,20,,N,N
A4,67 A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N
A5,67 A,C,UNKNOWN,VIC,NFQ-MGB,28.92063522,28.8197937,0.142611444,,,,FALSE,0.01,FALSE,6,20,,N,N
A5,67 A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N
A6,74,C,UNKNOWN,VIC,NFQ-MGB,26.19580269,26.50354385,0.435211718,,,,FALSE,0.01,FALSE,6,20,,Y,N
A6,74,D,UNKNOWN,FAM,NFQ-MGB,32.58472824,33.02388,0.621051669,,,,FALSE,0.01,FALSE,6,20,,Y,N
A7,74,C,UNKNOWN,VIC,NFQ-MGB,26.81128502,26.50354385,0.435211718,,,,FALSE,0.01,FALSE,6,20,,Y,N
A7,74,D,UNKNOWN,FAM,NFQ-MGB,33.46302795,33.02388,0.621051669,,,,FALSE,0.01,FALSE,6,20,,Y,N
A8,67 B,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,39.42233658,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
A8,67 B,D,UNKNOWN,FAM,NFQ-MGB,38.35072708,36.76556396,2.241761923,,,,FALSE,0.01,FALSE,6,20,,Y,Y
A9,67 B,C,UNKNOWN,VIC,NFQ-MGB,39.42233658,39.42233658,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
A9,67 B,D,UNKNOWN,FAM,NFQ-MGB,35.18039703,36.76556396,2.241761923,,,,FALSE,0.01,FALSE,6,20,,Y,Y
A10,237,C,UNKNOWN,VIC,NFQ-MGB,37.00089645,36.78928757,0.299260169,,,,FALSE,0.01,FALSE,6,20,,N,Y
A10,237,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
A11,237,C,UNKNOWN,VIC,NFQ-MGB,36.57767868,36.78928757,0.299260169,,,,FALSE,0.01,FALSE,6,20,,N,Y
A11,237,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
A12,,,,,,,,,,,,,,,,,,N,N
B1,223,C,UNKNOWN,VIC,NFQ-MGB,31.2708931,30.05271721,1.722760916,,,,FALSE,0.01,FALSE,6,20,,Y,N
B1,223,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,N
B2,223,C,UNKNOWN,VIC,NFQ-MGB,28.83454132,30.05271721,1.722760916,,,,FALSE,0.01,FALSE,6,20,,Y,Y
B2,223,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
B3,272,C,UNKNOWN,VIC,NFQ-MGB,31.82936287,30.76165009,1.509975195,,,,FALSE,0.01,FALSE,6,20,,Y,Y
B3,272,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
B4,272,C,UNKNOWN,VIC,NFQ-MGB,29.69393539,30.76165009,1.509975195,,,,FALSE,0.01,FALSE,6,20,,Y,Y
B4,272,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
B5,209,C,UNKNOWN,VIC,NFQ-MGB,24.01788521,23.96234894,0.078540146,,,,FALSE,0.01,FALSE,6,20,,N,Y
B5,209,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
B6,209,C,UNKNOWN,VIC,NFQ-MGB,23.90681267,23.96234894,0.078540146,,,,FALSE,0.01,FALSE,6,20,,N,Y
B6,209,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
B7,68,C,UNKNOWN,VIC,NFQ-MGB,31.29764366,31.35685349,0.083736688,,,,FALSE,0.01,FALSE,6,20,,N,N
B7,68,D,UNKNOWN,FAM,NFQ-MGB,27.42520332,27.41938019,0.008235157,,,,FALSE,0.01,FALSE,6,20,,N,N
B8,68,C,UNKNOWN,VIC,NFQ-MGB,31.41606522,31.35685349,0.083736688,,,,FALSE,0.01,FALSE,6,20,,N,N
B8,68,D,UNKNOWN,FAM,NFQ-MGB,27.41355705,27.41938019,0.008235157,,,,FALSE,0.01,FALSE,6,20,,N,N
B9,218,C,UNKNOWN,VIC,NFQ-MGB,24.42844772,24.49569702,0.095103517,,,,FALSE,0.01,FALSE,6,20,,N,Y
B9,218,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
B10,218,C,UNKNOWN,VIC,NFQ-MGB,24.56294441,24.49569702,0.095103517,,,,FALSE,0.01,FALSE,6,20,,N,Y
B10,218,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
B11,71,C,UNKNOWN,VIC,NFQ-MGB,34.99910355,36.91556549,2.710283756,,,,FALSE,0.01,FALSE,6,20,,Y,Y
B11,71,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
