Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\MO_Time2(1).eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N
A2,13f,C,UNKNOWN,VIC,NFQ-MGB,37.74107361,36.88772583,1.206815958,,,,FALSE,0.01,FALSE,6,20,,Y,N
A2,13f,D,UNKNOWN,FAM,NFQ-MGB,33.39201736,32.68127441,1.005143642,,,,FALSE,0.01,FALSE,6,20,,Y,N
A3,13f,C,UNKNOWN,VIC,NFQ-MGB,36.03437805,36.88772583,1.206815958,,,,FALSE,0.01,FALSE,6,20,,Y,N
A3,13f,D,UNKNOWN,FAM,NFQ-MGB,31.97052956,32.68127441,1.005143642,,,,FALSE,0.01,FALSE,6,20,,Y,N
A4,120f,C,UNKNOWN,VIC,NFQ-MGB,30.56324577,30.91039658,0.490944028,,,,FALSE,0.01,FALSE,6,20,,N,N
A4,120f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N
A5,191f,C,UNKNOWN,VIC,NFQ-MGB,24.6555481,24.55249405,0.145740435,,,,FALSE,0.01,FALSE,6,20,,Y,N
A5,191f,D,UNKNOWN,FAM,NFQ-MGB,36.44247437,35.62247849,1.159649253,,,,FALSE,0.01,FALSE,6,20,,Y,N
A6,191f,C,UNKNOWN,VIC,NFQ-MGB,24.44944,24.55249405,0.145740435,,,,FALSE,0.01,FALSE,6,20,,Y,N
A6,191f,D,UNKNOWN,FAM,NFQ-MGB,34.8024826,35.62247849,1.159649253,,,,FALSE,0.01,FALSE,6,20,,Y,N
A7,222f,C,UNKNOWN,VIC,NFQ-MGB,26.43293381,26.40787315,0.035441115,,,,FALSE,0.01,FALSE,6,20,,N,Y
A7,222f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
A8,222f,C,UNKNOWN,VIC,NFQ-MGB,26.3828125,26.40787315,0.035441115,,,,FALSE,0.01,FALSE,6,20,,N,N
A8,222f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N
A9,229f,C,UNKNOWN,VIC,NFQ-MGB,27.91472054,28.93779182,1.664117932,,,,FALSE,0.01,FALSE,6,20,,Y,N
A9,229f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,N
A10,229f,C,UNKNOWN,VIC,NFQ-MGB,27.18505287,28.93779182,1.664117932,,,,FALSE,0.01,FALSE,6,20,,Y,N
A10,229f,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,N
A11,20f,C,UNKNOWN,VIC,NFQ-MGB,33.84687042,34.46873856,0.879454374,,,,FALSE,0.01,FALSE,6,20,,Y,N
A11,20f,D,UNKNOWN,FAM,NFQ-MGB,32.42073059,32.42073059,,,,,FALSE,0.01,FALSE,6,20,,Y,N
A12,,,,,,,,,,,,,,,,,,N,N
B1,235f,C,UNKNOWN,VIC,NFQ-MGB,29.92585564,30.41480064,0.69147265,,,,FALSE,0.01,FALSE,6,20,,Y,N
