Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\urop20170913RUN.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,NOAMP,NOISE
A1,,,,,,,,,,,,,,,,,,N,N,N
A2,851,C,UNKNOWN,VIC,NFQ-MGB,26.18635559,26.18635559,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
A2,851,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
A3,859,C,UNKNOWN,VIC,NFQ-MGB,30.85347176,30.85347176,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
A3,859,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
A4,867,C,UNKNOWN,VIC,NFQ-MGB,30.35945511,30.35945511,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
A4,867,D,UNKNOWN,FAM,NFQ-MGB,27.79460907,27.79460907,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
A5,875,C,UNKNOWN,VIC,NFQ-MGB,27.60148621,27.60148621,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
A5,875,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
A6,883,C,UNKNOWN,VIC,NFQ-MGB,28.48065567,28.48065567,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
A6,883,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
A7,891,C,UNKNOWN,VIC,NFQ-MGB,28.98553276,28.98553276,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
A7,891,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
A8,899,C,UNKNOWN,VIC,NFQ-MGB,30.07777214,30.07777214,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
A8,899,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
