"Plot Title: Tank13"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 10487930, SEN S/N: 10487930, LBL: Table 1)","Coupler Detached (LGR S/N: 10487930)","Coupler Attached (LGR S/N: 10487930)","Host Connected (LGR S/N: 10487930)","End Of File (LGR S/N: 10487930)"
1,10/22/17 02:30:00 PM,27.382,Logged,,,
2,10/22/17 02:45:00 PM,27.161,,,,
3,10/22/17 03:00:00 PM,27.087,,,,
4,10/22/17 03:15:00 PM,27.038,,,,
5,10/22/17 03:30:00 PM,27.014,,,,
6,10/22/17 03:45:00 PM,27.014,,,,
7,10/22/17 04:00:00 PM,27.014,,,,
8,10/22/17 04:15:00 PM,27.014,,,,
9,10/22/17 04:30:00 PM,26.989,,,,
10,10/22/17 04:45:00 PM,27.014,,,,
11,10/22/17 05:00:00 PM,27.038,,,,
12,10/22/17 05:15:00 PM,27.038,,,,
13,10/22/17 05:30:00 PM,27.038,,,,
14,10/22/17 05:45:00 PM,27.038,,,,
15,10/22/17 06:00:00 PM,27.038,,,,
16,10/22/17 06:15:00 PM,27.038,,,,
17,10/22/17 06:30:00 PM,27.038,,,,
18,10/22/17 06:45:00 PM,27.038,,,,
19,10/22/17 07:00:00 PM,27.014,,,,
20,10/22/17 07:15:00 PM,27.014,,,,
21,10/22/17 07:30:00 PM,27.014,,,,
22,10/22/17 07:45:00 PM,26.989,,,,
23,10/22/17 08:00:00 PM,26.989,,,,
24,10/22/17 08:15:00 PM,26.965,,,,
25,10/22/17 08:30:00 PM,26.940,,,,
26,10/22/17 08:45:00 PM,26.940,,,,
27,10/22/17 09:00:00 PM,26.916,,,,
28,10/22/17 09:15:00 PM,26.891,,,,
29,10/22/17 09:30:00 PM,26.867,,,,
30,10/22/17 09:45:00 PM,26.842,,,,
31,10/22/17 10:00:00 PM,26.842,,,,
32,10/22/17 10:15:00 PM,26.818,,,,
33,10/22/17 10:30:00 PM,26.793,,,,
34,10/22/17 10:45:00 PM,26.769,,,,
35,10/22/17 11:00:00 PM,26.744,,,,
36,10/22/17 11:15:00 PM,26.744,,,,
37,10/22/17 11:30:00 PM,26.720,,,,
38,10/22/17 11:45:00 PM,26.695,,,,
39,10/23/17 12:00:00 AM,26.671,,,,
40,10/23/17 12:15:00 AM,26.646,,,,
41,10/23/17 12:30:00 AM,26.622,,,,
42,10/23/17 12:45:00 AM,26.598,,,,
43,10/23/17 01:00:00 AM,26.573,,,,
44,10/23/17 01:15:00 AM,26.573,,,,
45,10/23/17 01:30:00 AM,26.549,,,,
46,10/23/17 01:45:00 AM,26.524,,,,
47,10/23/17 02:00:00 AM,26.500,,,,
48,10/23/17 02:15:00 AM,26.475,,,,
49,10/23/17 02:30:00 AM,26.451,,,,
50,10/23/17 02:45:00 AM,26.451,,,,
51,10/23/17 03:00:00 AM,26.426,,,,
52,10/23/17 03:15:00 AM,26.426,,,,
53,10/23/17 03:30:00 AM,26.402,,,,
54,10/23/17 03:45:00 AM,26.402,,,,
55,10/23/17 04:00:00 AM,26.378,,,,
56,10/23/17 04:15:00 AM,26.378,,,,
57,10/23/17 04:30:00 AM,26.353,,,,
58,10/23/17 04:45:00 AM,26.353,,,,
59,10/23/17 05:00:00 AM,26.329,,,,
60,10/23/17 05:15:00 AM,26.329,,,,
61,10/23/17 05:30:00 AM,26.304,,,,
62,10/23/17 05:45:00 AM,26.304,,,,
63,10/23/17 06:00:00 AM,26.280,,,,
64,10/23/17 06:15:00 AM,26.256,,,,
65,10/23/17 06:30:00 AM,26.256,,,,
66,10/23/17 06:45:00 AM,26.231,,,,
67,10/23/17 07:00:00 AM,26.231,,,,
68,10/23/17 07:15:00 AM,26.207,,,,
69,10/23/17 07:30:00 AM,26.207,,,,
70,10/23/17 07:45:00 AM,26.207,,,,
71,10/23/17 08:00:00 AM,26.231,,,,
72,10/23/17 08:15:00 AM,26.231,,,,
73,10/23/17 08:30:00 AM,26.256,,,,
74,10/23/17 08:45:00 AM,26.280,,,,
75,10/23/17 09:00:00 AM,26.304,,,,
76,10/23/17 09:15:00 AM,26.329,,,,
77,10/23/17 09:30:00 AM,26.353,,,,
78,10/23/17 09:45:00 AM,26.353,,,,
79,10/23/17 10:00:00 AM,26.402,,,,
80,10/23/17 10:15:00 AM,26.426,,,,
